ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,janasena party,Ramoji Rao,ap employees,Vidadala Rajini,ap assembly session today,jr ntr,Atchannaidu,high court,alliance,vangalapudi anitha,polavaram,visakha,byreddy siddharth reddy
g5ZlVGH9x-8,2019-12-21,0.99701189994812,21241.0,Sakshi,74.0,3.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOrf_PCCymU,2020-03-05,-0.9925163388252258,845.0,Sakshi,129.0,3.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yhfY4lPHIMU,2020-03-05,0.9882181286811828,1031.0,Sakshi,355.0,0.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zmaWaSgNuYY,2020-03-08,0.994486391544342,7122.0,Sakshi,383.0,0.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25Ynpvb79RI,2020-03-08,0.9968239068984984,554.0,Sakshi,94.0,0.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
u8mL0nrpeJs,2020-03-09,0.9971561431884766,22302.0,Sakshi,316.0,4.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hBPiQNm_odA,2020-03-12,-0.998583436012268,437301.0,Sakshi,406.0,138.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6XgrjTBNziQ,2020-03-16,-0.9980040192604064,4251.0,Sakshi,92.0,12.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PFJt8zQwsJA,2021-02-21,0.998317003250122,1249.0,Sakshi,183.0,0.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0
38lZ4SMpwN4,2021-08-06,-0.995069146156311,4655.0,Sakshi,309.0,18.0,kovvur.png,Taneti Vanitha,YSRCP,kovvur,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
