ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,cm jagan,chandrababu,yuvagalam,yuvashakti,tadepalli,suprem court,ap development,tadipatri
QaxYWJxZsYU,2019-12-21,0.9988129138946532,807.0,Sakshi,224.0,1.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,1,1,0,0,0,0,1,0,0
zF3vEpljxzs,2020-03-04,-0.9982535243034364,910.0,Sakshi,220.0,2.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,1,1,0,1,1,1,0,1,0,0
xfAOUdpO0W0,2022-03-15,0.9935868978500366,2209.0,Sakshi,136.0,2.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,1,0,0,0,0,1,0,0
9lxjoFPbj-Q,2022-05-11,0.9968329071998596,13149.0,Sakshi,86.0,30.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,1,0,0,0,0,0,0,0
GWXj4LYHwoQ,2022-06-15,-0.9970762729644777,43448.0,Sakshi,332.0,148.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,1,0,0,1,1,0,0,0,0,0,0
OxbcCqQPKg0,2022-06-24,0.9950189590454102,390808.0,Sakshi,459.0,423.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,1,1,0,0,0,0,0,0,0
hWTYERRj8Uk,2022-06-27,0.9370933175086976,18187.0,Sakshi,526.0,24.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,1,1,0,0,0,0,0,0
7ZvTRSK5xno,2022-06-30,-0.9981874823570251,1544.0,Sakshi,590.0,2.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,1,1,1,0,0,0,0,1,1,0
-octT4Nq0CI,2022-07-10,0.9963080883026124,1163.0,Sakshi,417.0,1.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,1,0,0,0,0,0,0,0,0
Hd95UEs-W1g,2022-07-14,0.9903818964958192,2179.0,Sakshi,79.0,2.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,1,1,1,0,0,0,0,1,0,0
_9F-0q-FLus,2022-09-03,0.9978355765342712,21287.0,Sakshi,394.0,27.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
A_JGDbL-1uY,2022-09-14,-0.9981207251548768,4506.0,Sakshi,178.0,6.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,1,1,1,0,0,1,1,0,0,1,1
I4YNiwiejuw,2022-09-20,-0.9966936111450196,10396.0,TV5,334.0,11.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,1,1,1,0,0,0,0,0,0,0
R9z3uxmXhkM,2022-10-03,0.9969834685325624,37455.0,TV5,505.0,73.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
