ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency
kyClKrhBB_0,2022-03-21,0.9962605834007264,1316.0,Sakshi,167.0,2.0,yelamanchili.png,Uppalapati Venkata Ramanamurthy Raju,YSRCP,Yelamanchili
VL7GDEQTgCc,2022-09-19,-0.9979225993156432,2791.0,TV5,279.0,1.0,yelamanchili.png,Uppalapati Venkata Ramanamurthy Raju,YSRCP,Yelamanchili
Fq4YO1z7S6A,2022-09-21,-0.9924329519271852,5205.0,TV5,240.0,36.0,yelamanchili.png,Uppalapati Venkata Ramanamurthy Raju,YSRCP,Yelamanchili
T49z8wkht5g,2022-11-15,0.9982209801673888,1072.0,ABN,95.0,1.0,yelamanchili.png,Uppalapati Venkata Ramanamurthy Raju,YSRCP,Yelamanchili
R5JRfeuZS38,2022-12-11,0.9935094714164734,3640.0,TV5,532.0,2.0,yelamanchili.png,Uppalapati Venkata Ramanamurthy Raju,YSRCP,Yelamanchili
OP9Q8Jd9_x0,2022-12-16,0.9663389921188354,6112.0,Sakshi,440.0,10.0,yelamanchili.png,Uppalapati Venkata Ramanamurthy Raju,YSRCP,Yelamanchili
6-opEMbQalI,2023-02-01,-0.997585654258728,18407.0,TV9,340.0,19.0,yelamanchili.png,Uppalapati Venkata Ramanamurthy Raju,YSRCP,Yelamanchili
ac__L47u3-0,2023-02-10,0.9977084398269652,2594.0,ABN,527.0,2.0,yelamanchili.png,Uppalapati Venkata Ramanamurthy Raju,YSRCP,Yelamanchili
nepx56HLPfY,2023-04-03,0.9950683116912842,4823.0,TV9,320.0,3.0,yelamanchili.png,Uppalapati Venkata Ramanamurthy Raju,YSRCP,Yelamanchili
EBaYPH0GC_Q,2023-04-03,0.9947941899299622,30827.0,TV9,92.0,15.0,yelamanchili.png,Uppalapati Venkata Ramanamurthy Raju,YSRCP,Yelamanchili
4tEcjoxvE1c,2023-04-15,-0.9777270555496216,23994.0,TV5,127.0,59.0,yelamanchili.png,Uppalapati Venkata Ramanamurthy Raju,YSRCP,Yelamanchili
