ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency
9U7EpRMM568,2022-03-21,0.998434841632843,5398.0,Sakshi,171.0,6.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc
CWMvFpP1dc8,2022-10-19,0.9963802695274352,4089.0,TV5,340.0,3.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc
3gqiyyNlLrE,2022-11-07,0.9478951096534728,2407.0,TV5,267.0,0.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc
nywEDsO_Q10,2022-11-15,0.9983733892440796,3215.0,TV5,149.0,4.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc
ykjE6szN9lg,2022-11-26,0.9983402490615844,868.0,Sakshi,352.0,1.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc
5UyDNdnkVYo,2022-11-27,0.9983755350112916,1028.0,TV9,204.0,0.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc
kALS_18B5_Y,2022-12-24,-0.9981914162635804,8221.0,TV9,188.0,0.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc
QOs1fhIk7Ss,2023-01-02,-0.981782615184784,57147.0,ABN,149.0,449.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc
deUaKSqKx34,2023-01-18,-0.997672975063324,1028.0,TV9,296.0,1.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc
EOVDNaRGRbM,2023-01-20,0.9944292306900024,14157.0,Sakshi,370.0,68.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc
_9jqr-3XfK8,2023-01-26,0.9987432360649108,769.0,ABN,209.0,2.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc
LoDsV5xG5FY,2023-02-17,0.9974251985549928,993.0,TV9,74.0,2.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc
1ZIH0pEfL9k,2023-02-17,0.988368570804596,3424.0,TV9,209.0,8.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc
u2k7QUzH6hA,2023-02-17,0.9917407035827636,14600.0,TV9,216.0,14.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc
VAy8NcZvv0A,2023-04-04,0.998178482055664,906.0,TV9,132.0,3.0,gudur.png,Varaprasad Rao Velagapalli,YSRCP,Gudur_sc
