ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,ambati rambabu,Gadapa Gadapaku ,janasena party,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy,Kakani,kotamreddy ,roja,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri,Devineni Uma,nandigama
ORM1wPRdNTw,2019-12-21,0.9981443881988524,1918.0,Sakshi,247.0,0.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w9Bb4IbRE44,2019-12-22,0.99832946062088,1042.0,Sakshi,55.0,0.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
t3cCq5t60gE,2019-12-26,0.9923549890518188,3169.0,Sakshi,233.0,3.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
wAwgCzHGOZ8,2020-03-06,-0.998441755771637,1594.0,Sakshi,565.0,5.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
jJUJ1ykaRgk,2020-03-09,0.9912099838256836,2599.0,Sakshi,83.0,0.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
muaHLTAKf28,2021-07-31,0.9410088062286376,6760.0,Sakshi,561.0,11.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iFKjyXE-MvA,2021-09-07,0.9898051023483276,5833.0,Sakshi,462.0,33.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vy1S10Zvx3U,2021-09-27,-0.9990707039833068,140360.0,Sakshi,523.0,597.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kl716JI5prc,2021-10-23,-0.9994192123413086,11875.0,Sakshi,393.0,60.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
xNDAp7Pk5J8,2021-11-12,0.9892240166664124,5972.0,Sakshi,101.0,6.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
rchoHAw6pz4,2021-11-15,0.9985713958740234,86819.0,Sakshi,321.0,134.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
Nn0nBszzzBo,2021-11-17,0.9846044182777404,85136.0,Sakshi,169.0,139.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
d1LZbXp1dD8,2021-12-04,0.9974738955497742,8286.0,Sakshi,547.0,71.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hF3zf_er96k,2021-12-04,-0.9974150657653807,798.0,Sakshi,443.0,3.0,myalavaram.png,Vasantha Venkata Krishna Prasad,YSRCP,Mylavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
