ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,panchayat elections,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Vidadala Rajini,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,MLC Elections 2023,high court,gorantla ,alliance,Peddireddy ,vizag steel plant,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
jAMeaykHKD4,2019-06-29,-0.997853457927704,1021.0,Sakshi,71.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rgHdJvyQPj8,2019-06-29,0.957394242286682,677.0,Sakshi,254.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-p2DgeOVQec,2019-06-29,-0.9981614947319032,1488.0,Sakshi,274.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p8QvmIRoNVg,2019-06-29,0.9978081583976746,7035.0,Sakshi,125.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fSmr9b8jdCQ,2019-06-29,0.9974294304847716,2094.0,Sakshi,57.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rZM6G2dgXmw,2019-06-29,0.8979321718215942,2838.0,Sakshi,286.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUthNH9iMVk,2019-06-29,-0.998408019542694,2230.0,Sakshi,28.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
_fzfWMeq3L8,2019-06-30,0.9906209707260132,2611.0,Sakshi,350.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ozSukEk9Tvo,2019-06-30,-0.9969051480293274,960.0,Sakshi,188.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS8VMn54oRo,2019-06-30,0.9968690276145936,1427.0,Sakshi,157.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
poRmefl205A,2019-06-30,-0.9980769157409668,808.0,Sakshi,228.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
llGlhsRxIq4,2019-06-30,0.9975947737693788,4391.0,Sakshi,169.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uK23ohYnWto,2019-06-30,0.9969046711921692,424.0,Sakshi,80.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZS7wXbeXos8,2019-06-30,-0.9917728304862976,761.0,Sakshi,49.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
rrEpyPmIF3w,2019-06-30,0.9967616200447084,203.0,Sakshi,32.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKU6qS-XfwU,2019-06-30,-0.996996521949768,96541.0,Sakshi,261.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lCLEhW0XxjY,2019-06-30,0.9980303645133972,499.0,Sakshi,170.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lov_UbtBCrc,2019-06-30,0.9980706572532654,2030.0,Sakshi,238.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GG8X4qtHdto,2019-07-01,0.997834861278534,19158.0,Sakshi,250.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tfJRcxuLwt8,2019-07-01,0.9949446320533752,5905.0,Sakshi,184.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nDs5RfnrEXA,2019-12-20,0.997031569480896,746.0,Sakshi,190.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sx_Ky70FaQg,2019-12-20,-0.998144030570984,166.0,Sakshi,238.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2OPViT4oKc,2019-12-20,0.99865984916687,201446.0,Sakshi,419.0,210.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
nsQfGWnma2w,2019-12-20,0.9906960725784302,537.0,Sakshi,45.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2javyyicQG8,2019-12-20,-0.995131492614746,793.0,Sakshi,56.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9twzRn65_2o,2019-12-20,-0.9993444085121156,1297.0,Sakshi,264.0,0.0,chilakuluripet.png,Vidadala Rajini,YSRCP,Chilakaluripet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
