ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,panchayat elections,Kuppam,janasena party,tdp pattabhi,ap employees,Vidadala Rajini,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,high court,gorantla ,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
jGGvqTx8LRQ,2018-09-03,0.9982995390892028,6855.0,Sakshi,125.0,0.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
zNS3OzuNEd8,2019-06-30,-0.9987797141075134,3136.0,Sakshi,464.0,0.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_fzfWMeq3L8,2019-06-30,0.9906209707260132,2611.0,Sakshi,350.0,0.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2OPViT4oKc,2019-12-20,0.99865984916687,201446.0,Sakshi,419.0,210.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
uovRzdhaQvo,2019-12-20,-0.9925580024719238,977.0,Sakshi,222.0,0.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5_KoPwmgXGc,2019-12-20,0.5057323575019836,1825.0,Sakshi,253.0,7.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QaxYWJxZsYU,2019-12-21,0.9988129138946532,807.0,Sakshi,224.0,1.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bvDlahc0Muc,2019-12-21,0.9977107048034668,1884.0,Sakshi,142.0,0.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
As7hCHSFBV0,2019-12-23,0.998088538646698,1109.0,Sakshi,511.0,1.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es0UDzd6Sic,2019-12-24,-0.9966905117034912,4501.0,Sakshi,155.0,3.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hsR_2lKbc4s,2019-12-26,0.9970225691795348,37023.0,Sakshi,431.0,40.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
_0OhIWjQ3vw,2019-12-26,0.9962729215621948,2494.0,Sakshi,359.0,6.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A9zMZ7ys2zc,2020-03-03,-0.9754440188407898,27420.0,Sakshi,548.0,9.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aqO16bRLbiQ,2020-03-05,-0.981389820575714,441.0,Sakshi,176.0,0.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SiVwsP1310E,2020-03-05,-0.9868332743644714,2355.0,Sakshi,113.0,2.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gBCNrcgY3lw,2020-03-07,0.9929965138435364,1136.0,Sakshi,383.0,3.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p5VbOUJ5YlA,2020-03-07,-0.9909694790840148,1719.0,Sakshi,500.0,2.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3qT2tg_viJk,2020-03-09,0.9950743317604064,3888.0,Sakshi,192.0,6.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFe3dD7oAss,2020-03-09,0.9965593218803406,3231.0,Sakshi,192.0,3.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uIUlHUM1DoM,2020-03-09,0.9985150694847108,8170.0,Sakshi,81.0,3.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORonIeNNLT0,2020-03-09,0.9942318797111512,5628.0,Sakshi,215.0,2.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NqefjAIoHac,2020-03-10,0.9944695234298706,7309.0,Sakshi,271.0,13.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2Yh57grczTc,2020-03-10,-0.9954890608787536,2247.0,Sakshi,156.0,0.0,chintalapudi.png,Vunnamatla Eliza,YSRCP,Chintalapudi,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
