ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Yellow Media,Kuppam,janasena party,tdp pattabhi,ap employees,ap assembly session today,high court,alliance,Peddireddy ,polavaram,visakha,byreddy siddharth reddy
lSmIKLSy_XA,2019-12-21,0.998245358467102,1437.0,Sakshi,227.0,2.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
nOWf5LEXyLM,2019-12-21,-0.9916585087776184,4778.0,Sakshi,122.0,1.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mnIuh7Kz8bo,2019-12-24,0.9976801872253418,3327.0,Sakshi,227.0,17.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
yhfY4lPHIMU,2020-03-05,0.9882181286811828,1031.0,Sakshi,355.0,0.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jhkv5r4LAW8,2020-03-10,-0.9973238706588744,62211.0,Sakshi,331.0,127.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NqefjAIoHac,2020-03-10,0.9944695234298706,7309.0,Sakshi,271.0,13.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v3Sz81_MElk,2021-09-05,0.9957925081253052,3125.0,Sakshi,152.0,15.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0
l5bZohQPGw4,2021-09-17,0.9935950636863708,2915.0,Sakshi,132.0,19.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPAvMsdiiSU,2021-10-25,-0.9994662404060364,1046.0,Sakshi,280.0,2.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2cmTSdT31jM,2021-10-26,-0.9975600242614746,663.0,Sakshi,546.0,2.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r3y1xBeXd78,2021-10-27,-0.9983017444610596,228634.0,Sakshi,435.0,327.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XcK1zgXjMoU,2021-11-06,0.998512327671051,13514.0,Sakshi,78.0,20.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRslM7PfhAo,2021-11-10,0.986665427684784,1777.0,Sakshi,515.0,16.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JyGaF4yGums,2021-11-26,0.9987205266952516,3439.0,Sakshi,141.0,7.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
IZj7cND56Rg,2021-12-01,-0.9967535138130188,216351.0,Sakshi,267.0,565.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bty4CsiAIlw,2021-12-04,0.9962594509124756,2484.0,Sakshi,204.0,0.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfMbDHEeCnA,2021-12-11,0.9925342798233032,12093.0,Sakshi,410.0,38.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C2ZOb6ywMiI,2021-12-15,0.9983583092689514,11352.0,Sakshi,187.0,18.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X8N45aDIEIY,2021-12-18,-0.9984726309776306,5217.0,Sakshi,289.0,45.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2c_W7mbVm-g,2021-12-29,0.9982666969299316,5342.0,Sakshi,227.0,17.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
5QBOMxWSSDc,2022-01-04,0.99683678150177,4310.0,Sakshi,519.0,7.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4AGR3Q9uR0,2022-01-25,-0.9978383183479308,228294.0,Sakshi,331.0,181.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V1EaFNrkzck,2022-01-25,0.9859730005264282,34235.0,Sakshi,233.0,42.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YV5rr876ZdI,2022-01-28,0.9927310347557068,30295.0,Sakshi,591.0,47.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q70_tsWn7Oo,2022-01-28,0.9888986945152284,76634.0,Sakshi,387.0,100.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
