ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,AP ,yuvagalam,YS Viveka Case,ap employees,high court,alliance,visakha,byreddy siddharth reddy,vijayasai reddy,roja,nellore ,yuvashakti,tadepalli,ys vijayamma,suprem court,Devineni Avinash,ap development,tadipatri,Anam Ramanarayana Reddy,High Court
eziB5_fdt4M,2019-12-21,0.995944082736969,837.0,Sakshi,71.0,1.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lR86hRU1KuI,2019-12-23,0.9978421926498412,3809.0,Sakshi,207.0,1.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
GkFQ0g2gzqE,2021-02-21,0.995938777923584,25728.0,Sakshi,334.0,6.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tDJt274z3w0,2021-09-08,0.9812459945678712,2295.0,Sakshi,155.0,12.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZM3-sjt08Ao,2021-11-03,0.9951784610748292,3640.0,Sakshi,365.0,4.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0
zbjjk04IqAM,2022-01-01,-0.9967430233955384,10636.0,Sakshi,207.0,60.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0
vVPppZShk9s,2022-03-19,0.9933872818946838,41120.0,Sakshi,412.0,142.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KUXHvUkKUqw,2022-05-20,0.99698668718338,23771.0,Sakshi,221.0,90.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0
_T0bnZTkd_8,2022-07-04,0.9962673783302308,6027.0,Sakshi,322.0,17.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
j5NIbC71Sh8,2022-09-27,0.9861499071121216,4964.0,Sakshi,265.0,8.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0
JCTdI5trCzk,2022-10-02,0.9832466244697572,2440.0,TV5,380.0,1.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lYqoyAlOgtY,2022-10-03,-0.9977795481681824,1368264.0,TV5,111.0,918.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
I4hQX7anu48,2022-10-29,0.9912946820259094,581.0,TV5,250.0,2.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
ut7Fno86oOE,2022-11-15,0.9978718757629396,10467.0,Sakshi,404.0,20.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
wta9RoAi9ow,2022-11-18,-0.9987209439277648,2716.0,TV9,208.0,4.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKKLyyGSuT4,2022-11-21,-0.9917280673980712,37088.0,TV9,300.0,82.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHFDZaGKn0A,2022-11-25,0.9854254722595216,1005.0,TV5,357.0,1.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8Dk12emoNTc,2022-12-01,0.9901717305183412,1759.0,TV9,174.0,4.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0
FNlYfuDSiO8,2022-12-12,-0.996799111366272,2591.0,TV5,315.0,2.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_yj9AqanAE,2022-12-17,-0.9876452088356018,2548.0,TV9,199.0,0.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qQfx3M0thv8,2022-12-19,-0.9961588382720948,10348.0,TV5,401.0,5.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
v9wWnkNXXvM,2022-12-20,0.986791491508484,34329.0,TV5,514.0,23.0,kadapa_l.png,Y. S. Avinash Reddy,YSRCP,kadapa,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
