ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Kuppam,janasena party,ap employees,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy
f2UuqUETjJ0,2019-12-21,0.998049259185791,549.0,Sakshi,63.0,0.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lxhbfZqculo,2019-12-21,0.997121036052704,1381.0,Sakshi,207.0,1.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
jIVaGBuShDQ,2019-12-22,0.9986296892166138,12670.0,Sakshi,250.0,18.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
d8_rpSMGNdo,2019-12-24,0.9970970153808594,6742.0,Sakshi,139.0,4.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RcNF8oNPrcc,2020-03-04,-0.991260588169098,1160339.0,Sakshi,362.0,326.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSaq-i7FGiE,2020-03-04,-0.9979935884475708,900.0,Sakshi,365.0,1.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aemq_FzChcM,2020-03-06,0.9979934692382812,532789.0,Sakshi,231.0,74.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
AfGgTeD2bLQ,2020-03-07,-0.9929285645484924,652.0,Sakshi,164.0,0.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_VDubhdhsRo,2020-03-09,-0.9866898059844972,1279.0,Sakshi,184.0,1.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sfrdkZQL2W8,2020-03-13,-0.997025430202484,10840.0,Sakshi,308.0,2.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0CP7KlSrMS8,2020-03-14,0.9977532029151917,3558.0,Sakshi,135.0,5.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1Ykhy17QfDo,2021-02-15,0.9796199202537536,2518.0,Sakshi,267.0,2.0,satyavedu.png,adimulam koneti,YSRCP,Satyavedu_sc,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0
