ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,ap assembly session today,alliance,roja,yuvashakti,suprem court,ap development,tadipatri
a3UhdNt1WJ4,2020-03-14,-0.9774354100227356,2708.0,Sakshi,241.0,5.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,1,0,0,1,0,0,0,0,0,0,0
WaygrQhnY88,2021-10-26,-0.991607666015625,1342.0,Sakshi,334.0,5.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,1,0,0,0,0,0,0,0,0,0,0,0
r3y1xBeXd78,2021-10-27,-0.9983017444610596,228634.0,Sakshi,435.0,327.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,1,0,0,0,0,0,0,1,0,0,0,0
00tA2fMQkCU,2021-11-05,-0.9953063130378724,33650.0,Sakshi,431.0,22.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,1,1,0,0,1,0,0,0,0,0,0,0,0
S6sKqtN-pfM,2021-11-11,0.9965534210205078,4743.0,Sakshi,208.0,4.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5vFUAbskTsw,2021-11-11,0.9984261989593506,795.0,Sakshi,265.0,2.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DymQdwbduPM,2022-01-16,0.9983447790145874,13301.0,Sakshi,62.0,48.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6s9RoYi3OFg,2022-03-07,-0.990336537361145,4216.0,Sakshi,486.0,9.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nNPOuKWO3WA,2022-03-17,-0.9966741800308228,8876.0,Sakshi,535.0,15.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tv2xE7-m85c,2022-03-23,0.9952175617218018,2180.0,Sakshi,487.0,7.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,1,0,0,0,1,0,0,0,0,0,0,0
AS_mQOTHeqA,2022-04-22,0.998075008392334,2109.0,Sakshi,339.0,17.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,1,1,0,1,0,0,0,1,0,1,1,1,0
1kM4sILuV3I,2022-05-12,-0.9891533255577089,2819.0,Sakshi,169.0,16.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,1,0,0,0,0,0,0,0,0,0,0
R8w0oLA9JLA,2022-06-09,0.9968122839927672,9414.0,Sakshi,294.0,7.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,1,1,1,1,0,0,0,0,0,0,0,1,0
