ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Kuppam,janasena party,ap employees,ap assembly session today,high court,alliance,Peddireddy ,vangalapudi anitha,polavaram,visakha,byreddy siddharth reddy
mnIuh7Kz8bo,2019-12-24,0.9976801872253418,3327.0,Sakshi,227.0,17.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
h11dsbyNkSI,2019-12-26,0.9982360601425172,81744.0,Sakshi,272.0,22.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
epfPlQLgDcg,2020-03-09,-0.9928061366081238,7869.0,Sakshi,212.0,6.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9lcYlpPAMyM,2020-03-15,-0.998660922050476,1856.0,Sakshi,339.0,3.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ewZDHaSiKhc,2021-02-20,-0.998089611530304,3717.0,Sakshi,129.0,14.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ecqXh1KeqJw,2021-02-21,0.997532844543457,1097.0,Sakshi,151.0,0.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PFJt8zQwsJA,2021-02-21,0.998317003250122,1249.0,Sakshi,183.0,0.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
gjXWRuNtNTM,2021-07-30,0.997617781162262,1906.0,Sakshi,294.0,12.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lnB8me9nPl0,2021-08-05,0.998689353466034,5154.0,Sakshi,106.0,10.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
l5bZohQPGw4,2021-09-17,0.9935950636863708,2915.0,Sakshi,132.0,19.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vy1S10Zvx3U,2021-09-27,-0.9990707039833068,140360.0,Sakshi,523.0,597.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2gyU8DeBWlk,2021-10-24,-0.9942805767059326,3431.0,Sakshi,195.0,9.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qth-e4lSFuk,2021-10-26,-0.9977850914001464,1934.0,Sakshi,221.0,3.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vK8Whd07NrE,2021-10-26,-0.9979801774024964,734.0,Sakshi,523.0,0.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P9V9sre43WE,2021-11-06,-0.9943055510520936,178879.0,Sakshi,279.0,296.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5lJY4jwH-64,2021-11-12,-0.9908865690231324,6406.0,Sakshi,131.0,20.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
xNDAp7Pk5J8,2021-11-12,0.9892240166664124,5972.0,Sakshi,101.0,6.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
T7NyY7KZ5ck,2021-11-13,0.9971550703048706,4128.0,Sakshi,204.0,9.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1
OC3k4z2DX9k,2021-11-15,0.9971492886543274,3488.0,Sakshi,318.0,1.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26bsU5o3ErQ,2021-11-16,0.9936255216598512,17845.0,Sakshi,475.0,91.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xuvx62uJFH0,2021-11-24,-0.9993846416473388,5360.0,Sakshi,75.0,10.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iWuaf9VAwkU,2021-12-10,-0.9825326204299928,540.0,Sakshi,278.0,0.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
4NWDhuhaIJU,2021-12-20,-0.992660105228424,61844.0,Sakshi,477.0,137.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
