ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,ap assembly session today,high court,alliance,visakha
dvoo6ju2Zv8,2019-12-21,0.983485460281372,734.0,Sakshi,244.0,3.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
tK40xtaDAwE,2020-03-09,0.9962384700775146,5118.0,Sakshi,178.0,7.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
9lcYlpPAMyM,2020-03-15,-0.998660922050476,1856.0,Sakshi,339.0,3.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-vQ0UgB_U4,2021-02-16,0.9962841868400574,897.0,Sakshi,283.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
OC3k4z2DX9k,2021-11-15,0.9971492886543274,3488.0,Sakshi,318.0,1.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hdHI9oHMuWM,2022-02-09,-0.9944818019866944,7752.0,Sakshi,407.0,29.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
tv2xE7-m85c,2022-03-23,0.9952175617218018,2180.0,Sakshi,487.0,7.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-buNK78-Bmg,2022-04-22,-0.9932992458343506,102617.0,Sakshi,535.0,290.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
eCQXIdDCB0c,2022-05-07,0.9926007390022278,8446.0,Sakshi,514.0,7.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Oq84PBHqa1c,2022-06-21,0.9986690282821656,59309.0,Sakshi,239.0,30.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1Y7Y1iXsiCs,2022-06-21,-0.9981361627578736,167484.0,Sakshi,184.0,323.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
qv7bfP7iTnQ,2022-06-26,0.9982232451438904,20291.0,Sakshi,184.0,45.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
YWaUSjooXjY,2022-06-30,-0.9971036314964294,1354.0,Sakshi,424.0,4.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
p_P2h-SQEi0,2022-07-02,-0.9956746697425842,79695.0,Sakshi,444.0,216.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0
PGbCQKufju4,2022-07-02,0.998387098312378,38462.0,Sakshi,549.0,141.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
y8xdtTGIIe4,2022-07-08,0.9981162548065186,77094.0,Sakshi,301.0,68.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8D5S75pWUpA,2022-07-26,0.9981127977371216,281026.0,Sakshi,521.0,418.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
VuNWr2E7_2Y,2022-08-03,-0.9693865776062012,151449.0,Sakshi,429.0,140.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
siGBLoDtKZ0,2022-08-05,0.9955682158470154,3771.0,Sakshi,111.0,26.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
PIPLu3u0lu0,2022-08-19,0.9928627610206604,6912.0,Sakshi,409.0,13.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
aVooQ00G3VU,2022-08-19,-0.9967483282089232,44739.0,Sakshi,473.0,84.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9z4V4B56at4,2022-08-24,-0.990140974521637,1291.0,TV5,454.0,1.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lwsp2h39Qa4,2022-08-25,0.9982884526252748,210134.0,Sakshi,224.0,134.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
Eb1hPb2l00c,2022-08-25,0.9971053004264832,43367.0,Sakshi,149.0,20.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
H5gVUK0GCjg,2022-08-26,-0.9969294667243958,114627.0,TV5,195.0,181.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
eN5yvsEzslU,2022-08-26,-0.9916644096374512,4250.0,TV5,102.0,3.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2NiDqHOvHa0,2022-08-26,-0.9897243976593018,29473.0,TV5,265.0,51.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
jIqMGSjXMhk,2022-08-26,-0.996815860271454,51466.0,TV5,555.0,42.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FWHixM0EqKg,2022-09-08,-0.9867781400680542,2529.0,TV5,370.0,6.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ztEcczxDtUQ,2022-09-08,-0.9318764209747314,6306.0,TV5,290.0,18.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
GgFFI1XrwcM,2022-09-12,0.9980351328849792,6719.0,TV5,537.0,13.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EZqAEjhT0HQ,2022-09-13,-0.99936705827713,1016.0,TV5,345.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
_KIYH2SxsbA,2022-09-15,-0.9993560910224916,88061.0,Sakshi,262.0,107.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0
7OSKAqhceUw,2022-09-21,-0.9977549910545348,51991.0,TV5,310.0,89.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
lfPMdWOl6mI,2022-09-21,0.9960676431655884,54457.0,TV5,435.0,65.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3FIj6dqMK0,2022-09-25,0.9974297881126404,2875.0,TV5,385.0,10.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
