ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,ap employees,ap assembly session today,high court,alliance,Peddireddy ,polavaram,visakha,Kakani,kotamreddy ,roja,nellore ,yuvashakti,tadepalli,ayyanna patrudu ,suprem court,tdp leaders arrest,ap development,tadipatri,gudivada ,varahi ,nandigama,High Court
NHunYWqizGE,2019-12-21,0.998336672782898,1191.0,Sakshi,66.0,0.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UpLEFS_BEjU,2020-03-03,0.9967867136001588,29484.0,Sakshi,514.0,16.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A9zMZ7ys2zc,2020-03-03,-0.9754440188407898,27420.0,Sakshi,548.0,9.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vJ4c_Y-hj9Q,2020-03-10,-0.9917140007019044,43013.0,Sakshi,342.0,25.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NqefjAIoHac,2020-03-10,0.9944695234298706,7309.0,Sakshi,271.0,13.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cDIbMgMJN3Q,2021-02-14,-0.9967304468154908,11035.0,Sakshi,66.0,5.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
_YJj0cnltMw,2021-02-15,0.994706928730011,3108.0,Sakshi,326.0,0.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0
0iDBqdaFroM,2021-08-09,-0.996269464492798,1837.0,Sakshi,213.0,15.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
qsrpFtl8BTw,2021-08-11,0.998386025428772,5103.0,Sakshi,308.0,18.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0
kbPSa0G3jmk,2021-08-31,-0.998694121837616,3245.0,Sakshi,190.0,12.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
