ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Kuppam,janasena party,tdp pattabhi,ap employees,ap assembly session today,jr ntr,high court,alliance,vangalapudi anitha,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy,vijayasai reddy,roja,nellore ,srikakulam,yuvashakti,tadepalli,suprem court,tdp leaders arrest,ap development,balineni srinivasa reddy,tadipatri,Anam Ramanarayana Reddy,janasena alliance with tdp,gudivada ,varahi ,election commission,maa nammakam nuvve jagan,nandigama,High Court
25jVus9_oDo,2022-08-20,-0.9978564381599426,1961.0,TV5,160.0,6.0,murthy.png,murthy,MEDIA,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aARDK52kp4I,2022-08-21,-0.9983013868331908,43904.0,TV5,185.0,71.0,murthy.png,murthy,MEDIA,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5XErt-czdIQ,2022-08-23,-0.9301303029060364,35336.0,TV5,120.0,76.0,murthy.png,murthy,MEDIA,,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0
2gE2PPU3Vi4,2022-08-23,0.995366096496582,128003.0,TV5,520.0,481.0,murthy.png,murthy,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1XjFtV6RGeY,2022-08-24,-0.9969602227211,4551.0,TV5,165.0,2.0,murthy.png,murthy,MEDIA,,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
IffosxY1NG4,2022-08-24,0.9780410528182985,4504.0,TV5,400.0,9.0,murthy.png,murthy,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RC_iCbxZ_I8,2022-08-24,-0.9970345497131348,21879.0,TV5,110.0,38.0,murthy.png,murthy,MEDIA,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
r8cmHw5xRSA,2022-08-25,0.9938985109329224,23748.0,TV5,450.0,27.0,murthy.png,murthy,MEDIA,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lia-zV3tIyQ,2022-08-25,-0.998215675354004,75004.0,TV5,170.0,125.0,murthy.png,murthy,MEDIA,,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PJc5ltzQL2A,2022-08-26,0.9928098917007446,48056.0,TV5,164.0,58.0,murthy.png,murthy,MEDIA,,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
mO2d3G5G9Cg,2022-08-26,-0.9986732006072998,4452.0,TV5,333.0,12.0,murthy.png,murthy,MEDIA,,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
