ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Kuppam,janasena party,Ramoji Rao,ap employees,ap assembly session today,Atchannaidu,high court,alliance,vizag steel plant,polavaram,visakha,byreddy siddharth reddy,Kakani,privatization,kotamreddy ,Preethi,roja,nellore ,Machilipatnam,srikakulam,yuvashakti,tadepalli,megastar chiranjeevi,Pension,suprem court,perni nani ,ap development,tadipatri,gudivada ,Kodali Nani ,varahi ,nellore mekapati,nandigama,High Court
l4iE3VuYyxQ,2019-06-30,-0.9931313395500184,3941.0,Sakshi,109.0,0.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
MT7es8HULsM,2020-03-05,0.9982187151908876,2707.0,Sakshi,340.0,2.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wda42vu7p9E,2020-03-16,-0.9994864463806152,2711.0,Sakshi,287.0,8.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4i2iPsXDrLc,2020-03-16,-0.9994370341300964,1755.0,Sakshi,287.0,8.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
XyzGcO6fUB8,2021-03-02,-0.9977184534072876,4729.0,Sakshi,246.0,8.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
p0bfA9GFmUM,2021-03-02,-0.9886122345924376,7587.0,Sakshi,308.0,43.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
uYgmgL_D6Po,2021-08-07,0.9977726340293884,4640.0,Sakshi,152.0,6.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
EK-2ocgddZ4,2021-09-25,0.993913471698761,4824.0,Sakshi,44.0,9.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
vGwVSy8daYg,2021-09-27,-0.99732506275177,2129255.0,Sakshi,53.0,0.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
wrLS0NGi_HU,2021-10-28,0.9909390211105348,10198.0,Sakshi,132.0,49.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0
6Dk5UWqzFvA,2021-10-28,0.9820043444633484,31670.0,Sakshi,96.0,36.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Z98UC9J5X20,2021-10-28,-0.9981507658958436,82330.0,Sakshi,191.0,495.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0
K0dGDg58ddg,2021-10-29,-0.9885550141334534,2675.0,Sakshi,122.0,5.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mD_RAZsqo9o,2021-10-29,0.9910227060317992,2720.0,Sakshi,238.0,13.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
chv2rLNxKVU,2021-10-29,0.997363269329071,6726.0,Sakshi,96.0,16.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
JnhIAKEXToE,2021-10-29,-0.997025191783905,102934.0,Sakshi,25.0,58.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tHGRgJ_LAx4,2021-10-29,-0.992702841758728,1177220.0,Sakshi,47.0,859.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hBkwv1uAqTY,2021-11-09,-0.9865835309028624,3460.0,Sakshi,141.0,10.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_j7zgpkFhtY,2021-11-09,-0.9942346215248108,2496.0,Sakshi,393.0,16.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0
qM_nCQYVIyM,2021-11-09,-0.9983972907066344,2632.0,Sakshi,330.0,12.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
vrLM_t9em5g,2021-11-09,-0.9988094568252563,1886.0,Sakshi,266.0,4.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
