name,constituency,uploader,view_count_average,view_count,negative_video_uploads,party
Abbaya Chowdary Kothari,Denduluru,ABN,8211.852654387865,7579540.0,651,YSRCP
Abbaya Chowdary Kothari,Denduluru,Sakshi,38980.70277777778,14033053.0,147,YSRCP
Abbaya Chowdary Kothari,Denduluru,TV5,32429.668730650155,10474783.0,197,YSRCP
Abbaya Chowdary Kothari,Denduluru,TV9,10834.258527827647,6034682.0,292,YSRCP
Abdul Hafeez Khan,Kurnool,ABN,10816.659624413145,4607897.0,288,YSRCP
Abdul Hafeez Khan,Kurnool,Sakshi,50667.93421052631,11552289.0,72,YSRCP
Abdul Hafeez Khan,Kurnool,TV5,25110.954285714284,8788834.0,185,YSRCP
Abdul Hafeez Khan,Kurnool,TV9,13724.057959183674,16811971.0,688,YSRCP
Adala Prabhakar Reddy,Nellore,ABN,9799.25,627152.0,52,YSRCP
Adala Prabhakar Reddy,Nellore,Sakshi,24568.08823529412,3341260.0,56,YSRCP
Adala Prabhakar Reddy,Nellore,TV5,24578.25581395349,2113730.0,51,YSRCP
Adala Prabhakar Reddy,Nellore,TV9,8358.21052631579,1746866.0,131,YSRCP
Adireddy Bhavani,Rajahmundry_city,ABN,6001.794330916282,9104722.0,1010,TDP
Adireddy Bhavani,Rajahmundry_city,Sakshi,43495.36343612335,19746895.0,164,TDP
Adireddy Bhavani,Rajahmundry_city,TV5,10488.359217877094,18774163.0,1007,TDP
Adireddy Bhavani,Rajahmundry_city,TV9,13784.381578947368,5238065.0,206,TDP
Alajangi jogarao,Parvathipuram,ABN,32137.18604651163,1381899.0,30,YSRCP
Alajangi jogarao,Parvathipuram,Sakshi,25275.516666666666,1516531.0,22,YSRCP
Alajangi jogarao,Parvathipuram,TV5,93227.34782608696,2144229.0,11,YSRCP
Alajangi jogarao,Parvathipuram,TV9,4438.366666666667,133151.0,15,YSRCP
Alla Kali Krishna Srinivas,Eluru,ABN,9947.552795031055,8007780.0,556,YSRCP
Alla Kali Krishna Srinivas,Eluru,Sakshi,26161.046242774566,13577583.0,207,YSRCP
Alla Kali Krishna Srinivas,Eluru,TV5,22745.458077709613,11122529.0,288,YSRCP
Alla Kali Krishna Srinivas,Eluru,TV9,11580.38670411985,12367853.0,610,YSRCP
Alla Ramakrishna Reddy,Mangalagiri,ABN,12951.97627118644,3820833.0,219,YSRCP
Alla Ramakrishna Reddy,Mangalagiri,Sakshi,26858.651315789473,4082515.0,63,YSRCP
Alla Ramakrishna Reddy,Mangalagiri,TV5,14481.377049180328,2650092.0,103,YSRCP
Alla Ramakrishna Reddy,Mangalagiri,TV9,14570.375314861461,5784439.0,244,YSRCP
Ambati Rambabu,Sattenapalle,ABN,8793.941642651296,12205991.0,964,YSRCP
Ambati Rambabu,Sattenapalle,Sakshi,36221.14333333333,32599029.0,393,YSRCP
Ambati Rambabu,Sattenapalle,TV5,28309.560083594566,27092249.0,578,YSRCP
Ambati Rambabu,Sattenapalle,TV9,12227.65602189781,13401511.0,660,YSRCP
Amzath Basha Shaik Bepari,Kadapa,ABN,7476.722222222223,538324.0,53,YSRCP
Amzath Basha Shaik Bepari,Kadapa,Sakshi,44214.26829268293,3625570.0,25,YSRCP
Amzath Basha Shaik Bepari,Kadapa,TV5,14718.549019607843,1501292.0,55,YSRCP
Amzath Basha Shaik Bepari,Kadapa,TV9,5301.415384615385,344592.0,40,YSRCP
Anagani Satya Prasad,Repalle,ABN,9100.56329113924,2875778.0,236,TDP
Anagani Satya Prasad,Repalle,Sakshi,21325.037694013303,9617592.0,185,TDP
Anagani Satya Prasad,Repalle,TV5,13967.09,5586836.0,247,TDP
Anagani Satya Prasad,Repalle,TV9,7827.749408983452,3311138.0,264,TDP
Anam Ramanarayana Reddy,Venkatagiri,ABN,10117.612540192926,12586310.0,900,YSRCP
Anam Ramanarayana Reddy,Venkatagiri,Sakshi,31192.610372340427,23456843.0,295,YSRCP
Anam Ramanarayana Reddy,Venkatagiri,TV5,16205.318956870611,16156703.0,583,YSRCP
Anam Ramanarayana Reddy,Venkatagiri,TV9,12906.86298188574,27788476.0,1280,YSRCP
Anantha Venkatarami Reddy,Anantapur,ABN,2089.6153846153848,27165.0,12,YSRCP
Anantha Venkatarami Reddy,Anantapur,Sakshi,7170.888888888889,129076.0,7,YSRCP
Anantha Venkatarami Reddy,Anantapur,TV5,17324.0,173240.0,6,YSRCP
Anantha Venkatarami Reddy,Anantapur,TV9,13203.111111111111,118828.0,4,YSRCP
Anil Kumar Kaile,Pamarru,ABN,7574.742092457421,3113219.0,275,YSRCP
Anil Kumar Kaile,Pamarru,Sakshi,34094.0,11182832.0,148,YSRCP
Anil Kumar Kaile,Pamarru,TV5,31387.506134969324,10232327.0,213,YSRCP
Anil Kumar Kaile,Pamarru,TV9,11475.446043165468,1595087.0,72,YSRCP
Anil Kumar Poluboina,Nellore_city,ABN,14199.393442622952,866163.0,41,YSRCP
Anil Kumar Poluboina,Nellore_city,Sakshi,45744.74319066148,11756399.0,89,YSRCP
Anil Kumar Poluboina,Nellore_city,TV5,46452.65789473684,5295603.0,52,YSRCP
Anil Kumar Poluboina,Nellore_city,TV9,20896.68484848485,3447953.0,79,YSRCP
Anna Rambabu,Giddalur,ABN,23830.0,166810.0,4,YSRCP
Anna Rambabu,Giddalur,Sakshi,25644.333333333332,384665.0,7,YSRCP
Anna Rambabu,Giddalur,TV5,55791.71428571428,390542.0,3,YSRCP
Anna Rambabu,Giddalur,TV9,6630.857142857143,46416.0,5,YSRCP
Annabathuni Siva Kumar,Tenali,ABN,11696.980104712042,11170616.0,684,YSRCP
Annabathuni Siva Kumar,Tenali,Sakshi,32435.965,12974386.0,175,YSRCP
Annabathuni Siva Kumar,Tenali,TV5,20256.768802228413,7272180.0,221,YSRCP
Annabathuni Siva Kumar,Tenali,TV9,17203.269410664172,18390295.0,608,YSRCP
Annamreddy Adeep Raj,Pendurthi,ABN,10648.150943396226,1128704.0,78,YSRCP
Annamreddy Adeep Raj,Pendurthi,Sakshi,62186.955555555556,8395239.0,47,YSRCP
Annamreddy Adeep Raj,Pendurthi,TV5,16293.990196078432,3323974.0,133,YSRCP
Annamreddy Adeep Raj,Pendurthi,TV9,8916.161290322581,552802.0,34,YSRCP
Appalanaidu Baddukonda,Nellimarla,ABN,13108.094488188977,3329456.0,182,YSRCP
Appalanaidu Baddukonda,Nellimarla,Sakshi,35038.16949152543,4134504.0,41,YSRCP
Appalanaidu Baddukonda,Nellimarla,TV5,22603.95,2712474.0,62,YSRCP
Appalanaidu Baddukonda,Nellimarla,TV9,14476.743478260869,3329651.0,143,YSRCP
Appalanarasayya Botcha,Gajapathinagaram,ABN,8021.936046511628,2759546.0,260,YSRCP
Appalanarasayya Botcha,Gajapathinagaram,Sakshi,35712.577540106955,13356504.0,128,YSRCP
Appalanarasayya Botcha,Gajapathinagaram,TV5,19899.864734299517,8238544.0,248,YSRCP
Appalanarasayya Botcha,Gajapathinagaram,TV9,8065.360824742268,3129360.0,211,YSRCP
Aranii Srenevasulu,Chittoor,ABN,7515.934065934066,683950.0,64,YSRCP
Aranii Srenevasulu,Chittoor,Sakshi,26538.01754385965,1512667.0,25,YSRCP
Aranii Srenevasulu,Chittoor,TV5,17875.821428571428,1001046.0,39,YSRCP
Aranii Srenevasulu,Chittoor,TV9,9068.192982456141,1033774.0,74,YSRCP
Ashok Bendalam,Ichchapuram,ABN,1618.888888888889,14570.0,4,TDP
Ashok Bendalam,Ichchapuram,Sakshi,43376.666666666664,650650.0,4,TDP
Ashok Bendalam,Ichchapuram,TV5,10647.421052631578,202301.0,9,TDP
Ashok Bendalam,Ichchapuram,TV9,7145.935483870968,221524.0,13,TDP
Audimulapu Suresh,Yerragondapalem,ABN,11897.724137931034,345034.0,24,YSRCP
Audimulapu Suresh,Yerragondapalem,Sakshi,27447.589743589742,4281824.0,70,YSRCP
Audimulapu Suresh,Yerragondapalem,TV5,6738.0952380952385,141500.0,18,YSRCP
Audimulapu Suresh,Yerragondapalem,TV9,4402.926829268293,361040.0,44,YSRCP
Balineni Srinivasa Reddy,Ongole,ABN,16056.951219512195,658335.0,32,YSRCP
Balineni Srinivasa Reddy,Ongole,Sakshi,45564.096774193546,2824974.0,26,YSRCP
Balineni Srinivasa Reddy,Ongole,TV5,36199.96551724138,1049799.0,15,YSRCP
