ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,venkatagiri.png,tadikonda.png,kalayan_durg.png,paturi_nagabhusnam.png
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,4 MLAs Suspension,0,0,0,0
Y1Ky7vPf1Fw,2022-09-16,255.0,1.0,1230.0,-0.9922635555267334,TV5,4 MLAs Suspension,0,0,0,0
kfXsaCNtOX4,2022-10-27,252.0,4.0,2901.0,-0.9978725910186768,TV5,4 MLAs Suspension,0,0,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,4 MLAs Suspension,0,0,0,0
ucT_vVBTHWY,2023-03-27,165.0,41.0,23897.0,0.9922612309455872,Sakshi,4 MLAs Suspension,0,0,0,0
cC01bFtxvTY,2023-03-27,135.0,6.0,3371.0,-0.9985948204994202,Sakshi,4 MLAs Suspension,0,0,0,0
qlIjos8nZ4g,2023-02-14,153.0,1.0,705.0,-0.9974042773246764,TV9,4 MLAs Suspension,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,4 MLAs Suspension,0,0,0,0
tMT3ew6NB54,2022-11-01,211.0,4.0,2592.0,-0.9983561635017396,ABN,4 MLAs Suspension,0,0,0,0
Rb4nrgdBgm0,2022-09-15,324.0,4.0,4436.0,-0.9978528022766112,TV5,4 MLAs Suspension,1,0,1,1
aFOTO_kxnnc,2022-08-23,250.0,0.0,2756.0,-0.99466210603714,TV5,4 MLAs Suspension,0,0,0,0
EUWcNok_iyw,2022-10-27,55.0,9.0,14212.0,-0.990845501422882,ABN,4 MLAs Suspension,0,0,0,0
Acmkg6lgj6g,2022-10-27,307.0,9.0,3644.0,0.9818723797798156,ABN,4 MLAs Suspension,0,0,1,0
hSx-Yh0kY5k,2020-03-09,220.0,168.0,200652.0,0.9907106757164,Sakshi,4 MLAs Suspension,0,0,0,0
3z9fiBnv2FI,2022-09-21,133.0,50.0,26374.0,-0.9976499676704408,Sakshi,4 MLAs Suspension,1,0,0,0
5vJbvOy3aWQ,2023-03-25,212.0,201.0,153202.0,0.9743661880493164,Sakshi,4 MLAs Suspension,0,0,0,0
pQ_HpnHKi2k,2023-03-24,261.0,44.0,6748.0,-0.9953617453575134,Sakshi,4 MLAs Suspension,0,0,0,0
WMCKS7_bduI,2023-03-24,144.0,54.0,15345.0,-0.994665503501892,Sakshi,4 MLAs Suspension,0,0,0,0
y0IHCKp511Q,2022-08-29,93.0,2.0,3858.0,-0.995685338973999,TV5,4 MLAs Suspension,0,0,0,0
_Hq03snBuLM,2022-09-20,232.0,0.0,1059.0,-0.9992250204086304,TV5,4 MLAs Suspension,1,0,0,0
miXhgApBGrY,2022-10-27,147.0,5.0,1494.0,-0.993925392627716,Sakshi,4 MLAs Suspension,0,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,4 MLAs Suspension,0,0,0,0
5CP05Etffi0,2022-09-20,253.0,1.0,2703.0,-0.9983232617378236,TV5,4 MLAs Suspension,0,0,0,0
aC3bsg0Grec,2023-03-15,48.0,5.0,37434.0,-0.9994608759880066,ABN,4 MLAs Suspension,0,0,0,0
M6Uwy8Slo2c,2023-03-26,279.0,4.0,4619.0,-0.9987175464630128,TV9,4 MLAs Suspension,0,0,0,0
YDAJkWygwEQ,2022-10-27,178.0,2.0,860.0,-0.9947894811630248,ABN,4 MLAs Suspension,0,0,0,0
XvKYrMUs-tM,2023-03-30,103.0,3.0,3073.0,-0.9920921325683594,Sakshi,4 MLAs Suspension,0,0,1,0
RkcYPXSfJ0Y,2022-10-27,139.0,1.0,3087.0,-0.9977013468742372,TV5,4 MLAs Suspension,0,0,0,0
zznGyEMq2vg,2022-09-24,126.0,4.0,6363.0,0.99450421333313,TV5,4 MLAs Suspension,0,0,0,0
n_KxFDik0GI,2022-08-29,277.0,27.0,6454.0,-0.9944104552268982,TV5,4 MLAs Suspension,0,0,0,0
w-8OioP-o-w,2023-03-24,258.0,19.0,12125.0,-0.9939486980438232,TV9,4 MLAs Suspension,1,1,0,0
AwAl8vcBdJQ,2023-03-20,180.0,18.0,29651.0,-0.9981587529182434,TV5,4 MLAs Suspension,0,0,1,0
AMn0VyggwGo,2023-03-23,144.0,6.0,35780.0,0.9951127171516418,TV9,4 MLAs Suspension,0,0,0,0
tQae-tNTteQ,2022-10-30,270.0,0.0,1451.0,-0.9870434403419496,TV5,4 MLAs Suspension,0,0,0,0
1txxTs9Ghuo,2023-02-26,217.0,5.0,4501.0,-0.9993717074394226,TV9,4 MLAs Suspension,0,0,0,0
rUa5HhcDH5w,2023-04-05,125.0,1.0,1427.0,0.9977287650108336,TV9,4 MLAs Suspension,0,0,0,0
-id3-nximx8,2023-03-26,324.0,13.0,12219.0,-0.9968292117118835,TV9,4 MLAs Suspension,1,0,0,0
mWPAchR_up8,2023-03-15,100.0,4.0,7164.0,-0.9973255395889282,Sakshi,4 MLAs Suspension,0,0,1,0
82glyM0YDEo,2023-03-23,162.0,0.0,5743.0,0.9955731630325316,TV9,4 MLAs Suspension,0,0,0,0
TLX0-q9mKcQ,2022-12-01,231.0,2.0,22348.0,-0.9966452717781068,TV9,4 MLAs Suspension,0,0,0,0
e5VvCCNv1z4,2023-03-25,167.0,12.0,7130.0,-0.990310788154602,TV9,4 MLAs Suspension,1,1,0,0
DF0Cc-bkyv0,2023-02-12,316.0,34.0,48267.0,0.9969791173934937,TV5,4 MLAs Suspension,0,0,0,0
WFyqTqlwcjc,2023-03-25,154.0,36.0,94518.0,-0.9856306910514832,TV9,4 MLAs Suspension,0,0,0,0
_aonGBKBneI,2023-03-23,241.0,1.0,3206.0,-0.9982979893684388,TV9,4 MLAs Suspension,0,0,0,0
rFsGVh3LBKM,2022-11-25,116.0,3.0,2084.0,-0.9757365584373474,TV9,4 MLAs Suspension,0,0,0,0
W8fY3xDPbys,2023-03-26,183.0,28.0,6355.0,0.924316942691803,TV9,4 MLAs Suspension,0,0,0,0
iIGBdiggB1g,2023-03-23,290.0,8.0,8866.0,-0.9919701218605042,TV9,4 MLAs Suspension,0,0,0,0
1_VMAp_2RoE,2023-03-24,245.0,1.0,1792.0,-0.9984115362167358,ABN,4 MLAs Suspension,0,0,0,0
TDsMzGOO7QA,2022-12-20,204.0,18.0,21626.0,-0.993137001991272,TV9,4 MLAs Suspension,1,0,0,0
U9f2SM2st4s,2023-03-08,200.0,21.0,4400.0,-0.9994326233863832,ABN,4 MLAs Suspension,0,0,0,0
8EUN9S-p7s0,2023-03-16,155.0,4.0,779.0,-0.9989200830459596,ABN,4 MLAs Suspension,0,0,0,1
UZt8tA3pDN0,2023-03-24,104.0,51.0,18343.0,-0.9988810420036316,TV9,4 MLAs Suspension,0,0,0,0
S9npJYigyW0,2022-11-27,68.0,0.0,1156.0,-0.9908213019371032,TV9,4 MLAs Suspension,0,0,0,0
kC_v-fIqJLE,2022-11-21,188.0,2.0,12016.0,0.994716227054596,TV9,4 MLAs Suspension,0,0,0,0
2tN_CwAWFBA,2023-01-15,294.0,142.0,424700.0,0.9869897961616516,TV9,4 MLAs Suspension,0,0,0,0
dUM2QL4G4tA,2023-03-08,226.0,0.0,46766.0,-0.9899062514305116,TV9,4 MLAs Suspension,0,0,0,0
GSm5EZuKePM,2022-11-09,231.0,4.0,3471.0,-0.9987422823905944,ABN,4 MLAs Suspension,0,0,0,0
Lt6PfTWVdc0,2022-09-15,80.0,11.0,7907.0,-0.9975197911262512,TV5,4 MLAs Suspension,0,0,0,0
xG9Q9g5mmF4,2022-12-09,245.0,4.0,2185.0,-0.9947564601898192,ABN,4 MLAs Suspension,0,0,0,0
Eqsp8MEc9fo,2022-10-12,316.0,42.0,15494.0,0.998273491859436,TV5,4 MLAs Suspension,0,0,0,0
Jp2xsT09d3I,2023-03-14,297.0,12.0,12000.0,-0.9994688630104064,TV5,4 MLAs Suspension,0,0,0,0
ZPI92pzZNkU,2023-03-23,221.0,1.0,13709.0,0.9901406168937684,ABN,4 MLAs Suspension,0,0,0,0
