ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,punganur.png,raptadu.png,penukonda.png,vizianagaram_.png,ramkumar_reddy.png,gannavaram_vamsi.png,jaggayyapeta.png,Srungavarapukota.png,kodur.png,kadapa_l.png,srikakulam_.png,venkatagiri.png,urvakonda.png,Advocate _Sravan Kumar.png,srisailam.png,guntur_east.png,alur.png,vishakapatnam_west.png,undi.png,chodavaram.png,kakinada.png,narsapuram_l.png,tadikonda.png,eluru.png,venkat_krishna.png,palakollu.png,cheepurupali.png,penamaluru.png,myudukur.png,Rajam.png,pulivendula.png,kanigiri.png,vinukonda.png,sarvepalli.png,kalayan_durg.png,murthy.png,madugula.png,unguturu.png,mangalagiri.png,repalle.png,rajempet_l.png,sattenapalli.png,Venkata_Mahesh.png,prathipadu.png,paturi_nagabhusnam.png,bhimavaram.png,vijayawada_east.png,rayachoti.png,nandikotkur.png,vizianagaram.png,tadepalligudem.png,sambasivarao.png,tekkali.png,jammalamadugu.png,kadiri.png,hindupur.png,denduluru.png,pawan.png,Narasannapeta.png
TAKRplKVYjU,2022-10-31,176.0,9.0,1824.0,-0.997603476047516,ABN,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1rlVcLyzFfY,2021-02-15,250.0,0.0,2149.0,0.9884479641914368,Sakshi,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IwLUkegjvXU,2022-11-06,225.0,2.0,3171.0,0.9982733726501464,TV5,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rxp56EoH-KI,2022-12-29,355.0,20.0,9494.0,-0.9982105493545532,ABN,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EM81IPdcgxU,2023-04-04,134.0,59.0,48437.0,0.9877848625183104,Sakshi,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j5NIbC71Sh8,2022-09-27,265.0,8.0,4964.0,0.9861499071121216,Sakshi,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ffjm2KSJ27g,2023-02-04,42895.0,6.0,60688.0,0.9319105744361876,ABN,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMrvP7ILgis,2022-03-27,326.0,1.0,2973.0,0.9980177879333496,Sakshi,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCdmwQqmZak,2022-11-10,258.0,1.0,692.0,0.9964336156845092,ABN,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cAzP2O7Dz7c,2022-11-11,161.0,0.0,581.0,-0.997661828994751,ABN,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YxE5wzKLzws,2021-12-14,222.0,129.0,22526.0,0.9943110942840576,Sakshi,Anam Ramanarayana Reddy,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
o6WA7vFqy84,2022-09-29,58.0,59.0,40702.0,-0.9980598092079164,Sakshi,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xVrI1gQrOug,2023-01-23,98.0,2.0,1629.0,0.9983955025672911,TV9,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOgiyiyszNI,2022-11-30,335.0,23.0,19696.0,-0.9991183876991272,ABN,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cAGNWcKEsk8,2022-05-17,224.0,14.0,5492.0,0.9946668148040771,Sakshi,Anam Ramanarayana Reddy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tvALwqvYHrU,2023-01-03,31880.0,7.0,111578.0,-0.9985346794128418,ABN,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W6T3pE26aJM,2022-09-21,98.0,1.0,844.0,-0.9990473389625548,Sakshi,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hIfWivmngWY,2022-10-11,395.0,0.0,366.0,-0.9970256686210632,ABN,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8XLubkHWmoc,2022-12-18,197.0,18.0,5010.0,0.9983193278312684,Sakshi,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_lI0jL8qYDM,2023-01-21,87.0,1.0,1102.0,-0.999336302280426,ABN,Anam Ramanarayana Reddy,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gG_aZ2lNrq0,2023-02-04,554.0,3.0,2584.0,-0.9979643821716307,Sakshi,Anam Ramanarayana Reddy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bfo57L3n4QI,2023-01-05,470.0,77.0,41777.0,-0.9966282248497008,TV5,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0UUxCjAXtnI,2019-07-01,219.0,0.0,62151.0,0.9951696991920472,Sakshi,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_Cg4LwbaK4,2022-12-29,683.0,22.0,20320.0,0.9983398914337158,TV5,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ePk6gDp4O3Q,2023-01-24,51.0,9.0,8548.0,-0.981451451778412,Sakshi,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TY-mdzu8frY,2022-12-29,258.0,0.0,1063.0,-0.998172640800476,ABN,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leUzr8kEE2U,2023-02-07,425.0,105.0,87791.0,0.998097002506256,TV5,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ha1USBTlhUA,2021-09-13,521.0,6.0,5169.0,-0.9895756244659424,Sakshi,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870sdexFt8A,2022-11-03,331.0,2.0,626.0,-0.9990279674530028,ABN,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vhhV3TpmuzU,2022-11-08,221.0,4.0,1119.0,-0.9920280575752258,ABN,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
lcP4d1OnlLQ,2023-01-05,288.0,4.0,2611.0,-0.9955728054046632,TV9,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l003-UZWq28,2022-11-22,370.0,4.0,3356.0,-0.96382337808609,ABN,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KJ0g2pF0bbo,2023-01-09,55.0,8.0,7267.0,-0.996880292892456,TV5,Anam Ramanarayana Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
