ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,dhone.png,vizianagaram_.png,jaggayyapeta.png,kodur.png,venkatagiri.png,pulivendula.png,kanigiri.png,kalayan_durg.png,Venkata_Mahesh.png,nandikotkur.png
MCwz5XP-vvw,2023-02-16,168.0,6.0,3102.0,0.9901130199432372,TV9,Buggana Rajendranath,1,0,0,0,0,0,0,0,0,0
UxBfNouFxe4,2022-03-10,310.0,25.0,26866.0,-0.9874377846717834,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
5pcUybcyfpc,2022-11-18,387.0,38.0,15532.0,0.9941404461860656,Sakshi,Buggana Rajendranath,1,1,0,0,0,1,0,0,0,0
UMrvP7ILgis,2022-03-27,326.0,1.0,2973.0,0.9980177879333496,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
G1u7DatnTtw,2022-11-06,305.0,0.0,8972.0,0.996819257736206,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
jBfqhKZvboE,2022-11-18,72.0,4.0,2865.0,-0.996951699256897,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
PNTE42xQpvk,2022-03-10,177.0,4.0,5910.0,-0.988101363182068,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
kDKjueTzOr4,2022-03-28,42895.0,15.0,61119.0,0.9895629286766052,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
9VPvynQAO9I,2021-11-05,255.0,11.0,9803.0,0.99726665019989,Sakshi,Buggana Rajendranath,0,0,0,0,1,0,0,0,0,0
O7DdNIZOOzg,2023-02-07,310.0,1.0,3575.0,-0.9994341731071472,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
8cS-8Vn4yhA,2022-08-25,285.0,65.0,26186.0,0.9752053022384644,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
0UUxCjAXtnI,2019-07-01,219.0,0.0,62151.0,0.9951696991920472,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
Y1Ky7vPf1Fw,2022-09-16,255.0,1.0,1230.0,-0.9922635555267334,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
AaAOtdpYPdg,2022-11-18,579.0,34.0,4818.0,0.9951167106628418,Sakshi,Buggana Rajendranath,1,1,0,0,0,1,0,0,0,0
tQdk0z7WjrM,2022-03-11,6762.0,3.0,4842.0,0.9977284073829652,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
ncDgUs1NS5E,2022-12-06,170.0,1.0,2024.0,-0.9994593262672424,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,1,0,0
Ha1USBTlhUA,2021-09-13,521.0,6.0,5169.0,-0.9895756244659424,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
jVZbX3MpqP8,2023-02-09,77.0,0.0,404.0,0.9982596039772034,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
kjr3KF0eym0,2022-09-14,75.0,1.0,1708.0,0.992456555366516,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,1,0,0
dt6PU4gOBZA,2023-02-15,100.0,0.0,517.0,-0.997368335723877,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
0YepRmVIAJE,2022-12-27,363.0,0.0,695.0,0.9983686804771424,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
Zi5ADSqZSps,2023-03-16,15230.0,3.0,70799.0,0.9945780038833618,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
utBg8NdOqGY,2023-02-06,373.0,0.0,480.0,0.9986249208450316,TV9,Buggana Rajendranath,0,1,0,1,1,0,0,0,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
hEVbk2QEwls,2023-01-11,210.0,0.0,16570.0,0.9776792526245116,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
-adufcMpqac,2022-10-12,400.0,82.0,38770.0,-0.9963098168373108,Sakshi,Buggana Rajendranath,0,0,0,1,0,0,0,0,1,0
gJtyy8CX_u8,2022-12-06,225.0,0.0,2808.0,-0.9983162879943848,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
fbR_CRcKPQU,2021-02-21,319.0,2.0,6558.0,0.9983177185058594,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
WE_du7MPYoM,2022-12-08,364.0,0.0,1832.0,0.9985752105712892,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
so1Wmoc6aNw,2022-10-18,365.0,1.0,4934.0,-0.9973430037498474,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,1,0,0
PSxfBlwD7sk,2023-01-29,57.0,1.0,2158.0,0.9985612034797668,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
U6S0GzocGHM,2022-09-24,210.0,2.0,850.0,0.9986282587051392,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
IPN8sDaLdMo,2023-01-15,285.0,30.0,32486.0,0.998630702495575,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
v25BL2DVh6U,2022-09-19,264.0,7.0,1015.0,-0.9906694889068604,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
IeKPNrMxlwQ,2023-02-01,10905.0,3.0,20168.0,0.990304172039032,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
cj7ubjeTTOU,2023-02-15,157.0,1.0,951.0,0.95721834897995,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
CbCxLzAnBGQ,2023-03-07,59.0,13.0,25144.0,0.9975748658180236,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
qKfr_xaOdoo,2023-01-06,42895.0,53.0,542467.0,-0.9943981766700744,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
P68U0Yusmxw,2022-11-23,217.0,7.0,34569.0,-0.9986867308616638,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
RPePYyWGumQ,2022-11-17,3584.0,0.0,3209.0,0.9860410094261168,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
x8H6JHsKibI,2022-10-02,46.0,1.0,358.0,0.9988521337509156,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
Go6jXrXmxBE,2023-02-15,320.0,1.0,2374.0,-0.9969685673713684,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,1
KNtwux2yPxU,2023-02-14,88.0,2.0,212.0,-0.982344925403595,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
0FKrTLKBZ14,2023-02-18,63.0,21.0,2560.0,-0.9974737763404846,TV5,Buggana Rajendranath,1,0,0,0,0,0,0,0,0,0
TELILTaN3mY,2023-01-24,165.0,1.0,780.0,-0.9680721759796144,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
-rX_IXabPfA,2023-02-06,151.0,1.0,2424.0,0.9968279004096984,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
_iNKX1hMgDE,2022-11-17,72.0,0.0,552.0,-0.9976922273635864,TV9,Buggana Rajendranath,1,0,0,0,0,0,0,0,0,0
Z9RUpVLEIro,2021-02-15,196.0,10.0,4008.0,0.9924942255020142,Sakshi,Buggana Rajendranath,0,0,0,0,0,1,0,0,1,0
eZghETEBxzc,2022-10-28,157.0,11.0,7509.0,-0.9984079003334044,TV5,Buggana Rajendranath,0,0,0,0,0,1,0,0,0,0
CFQ24Vsx7xw,2022-09-16,11930.0,1.0,26417.0,-0.9666154384613036,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
02cF16GXpek,2022-12-05,176.0,38.0,19050.0,0.998195469379425,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
R_MXAg0LPqI,2022-11-13,359.0,1.0,2297.0,-0.9984949827194214,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
LIPG31VkN0M,2023-02-09,367.0,4.0,2444.0,-0.9972712397575378,TV5,Buggana Rajendranath,0,0,0,1,0,0,0,0,0,0
xdH2n_qP6XM,2021-02-18,172.0,0.0,1998.0,0.9985812902450562,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
S8C8dyOl1bE,2022-11-17,250.0,1.0,1034.0,0.9634873867034912,TV5,Buggana Rajendranath,0,0,0,1,0,0,0,0,0,0
4AwvnlldPyQ,2023-01-26,71.0,0.0,471.0,-0.9974052309989928,TV9,Buggana Rajendranath,0,0,0,0,1,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
tTkSyEa24TU,2022-12-03,515.0,43.0,15066.0,-0.9976945519447328,Sakshi,Buggana Rajendranath,1,0,0,0,0,0,0,0,0,0
9cNfk_Xbk9Q,2022-09-22,79.0,11.0,2007.0,0.9961817264556884,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
QJlVUGa4gwo,2022-11-26,275.0,14.0,3100.0,0.9942997694015504,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
f4PF8m6jjTQ,2022-11-30,228.0,2.0,16216.0,-0.9774641394615172,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
tKqViEv0F4M,2022-11-18,85.0,1.0,2959.0,-0.9980698227882384,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,1,0,0
_eQKvbdMDu4,2023-03-03,280.0,8.0,3393.0,0.9945710301399232,Sakshi,Buggana Rajendranath,1,0,0,0,0,0,0,0,0,0
pgWW89GHwIg,2021-08-31,93.0,9.0,6059.0,0.9984275102615356,Sakshi,Buggana Rajendranath,1,0,0,0,0,0,0,0,0,0
gTVI5HCIU14,2022-10-10,333.0,0.0,819.0,0.9911656975746156,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
US1jmywv59Y,2022-12-28,268.0,2.0,2835.0,0.9969404935836792,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
J4NPmkv27ls,2023-01-19,199.0,2.0,22543.0,-0.994531512260437,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
EbVgpXGmPgE,2022-09-16,335.0,5.0,3462.0,-0.9849157333374025,TV5,Buggana Rajendranath,1,0,0,0,0,0,0,0,0,0
FKG1L54V1pg,2022-06-01,316.0,17.0,3650.0,0.9984717965126038,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
Fd0mb73Q2Ug,2022-11-22,211.0,6.0,34382.0,-0.997994303703308,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
4NIItEqImNM,2023-02-01,3155.0,6.0,4697.0,0.9898780584335328,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
iahHK6_4874,2021-08-21,293.0,7.0,12339.0,-0.9861266016960144,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
GuH9gyC2XJY,2022-12-29,64.0,0.0,2153.0,-0.9987529516220092,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,1,0,0
9DiLSzKopCE,2023-01-14,206.0,5.0,55892.0,-0.9928379654884338,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
pFT5Ht2oR4s,2023-01-02,231.0,6.0,897.0,0.9959639310836792,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
YX2F3vSISoM,2019-12-21,283.0,0.0,1516.0,0.9983395338058472,Sakshi,Buggana Rajendranath,0,0,0,0,0,1,0,0,0,0
VBA4BMHphlA,2022-11-17,1230.0,104.0,36333.0,0.9900791645050048,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
tJlDAjjCGgw,2023-01-09,119.0,1.0,1019.0,-0.9931622743606568,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
W5EPATb3OjI,2022-10-14,255.0,17.0,3411.0,-0.9980790615081788,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
326L4UIkIOI,2022-11-29,260.0,8.0,2678.0,-0.9980310797691344,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
J19R0B32KoQ,2022-12-05,191.0,27.0,6340.0,0.9962559938430786,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
QLZxb10_9Q4,2021-02-21,226.0,1.0,845.0,0.9984815716743468,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
EdM433l5bWI,2022-10-13,136.0,2.0,516.0,-0.9030259251594543,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
pS26ey6f24g,2023-01-09,127.0,4.0,3502.0,0.9517415165901184,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
LIbSq65Wba4,2023-03-19,346.0,0.0,2454.0,0.9904049634933472,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
x-YFC6rUpCo,2022-03-16,191.0,261.0,253269.0,0.9986181259155272,Sakshi,Buggana Rajendranath,1,0,0,0,0,0,0,0,0,0
PL8_0CHclHQ,2023-01-26,144.0,3.0,4609.0,0.9948835968971252,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
dEuN8PPiJTg,2022-10-23,139.0,7.0,4314.0,0.9988555908203124,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,1,0,0
vR_e2Gwk06E,2023-03-10,266.0,2.0,2839.0,0.9878528118133544,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
MLSn8nOsFW0,2022-09-15,874.0,202.0,126169.0,0.9913440942764282,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
pJ_ANP7CMK8,2023-03-16,218.0,2.0,8105.0,-0.9901958107948304,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
Fjv_TH7inCE,2023-02-15,282.0,15.0,2891.0,-0.9981939196586608,TV9,Buggana Rajendranath,0,1,0,0,0,0,0,0,1,1
IecoTw8HaRQ,2023-02-28,295.0,2.0,473.0,-0.9979846477508544,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
3Slaj-cy73o,2023-02-16,69.0,4.0,1444.0,0.9976761937141418,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
r2w_a87LUrM,2023-03-16,130.0,45.0,77776.0,-0.9908086657524108,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
7QO_ttKc6xg,2021-07-12,303.0,1.0,25226.0,-0.9581515192985536,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
aiyFpYG-iqM,2022-12-05,403.0,0.0,1900.0,-0.9641234874725342,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
H1GziUY9hsg,2022-12-28,114.0,6.0,1994.0,0.9987871050834656,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
Y2Rk2b5NcZ0,2023-02-11,329.0,0.0,374.0,0.9836422204971312,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
Qx0yhF8vO5o,2021-02-16,320.0,0.0,5036.0,0.9910224676132202,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
Id39UlUvKUU,2022-11-25,208.0,0.0,58301.0,-0.996977686882019,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
n_KxFDik0GI,2022-08-29,277.0,27.0,6454.0,-0.9944104552268982,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
yjdxJIcp4HA,2022-11-17,103.0,1.0,785.0,0.994559109210968,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
iTaI3qBsAsU,2023-03-02,178.0,10.0,4846.0,-0.9990237951278688,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
6ZOsiF7JMSI,2023-01-18,255.0,2.0,621.0,-0.998644769191742,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
ejqKdhu6cwA,2023-02-15,54.0,0.0,798.0,0.9909756779670716,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
Z-nIlIE2LSk,2022-09-20,60.0,8.0,9117.0,-0.9977079629898072,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
rUa5HhcDH5w,2023-04-05,125.0,1.0,1427.0,0.9977287650108336,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
