ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,penukonda.png,vizianagaram_.png,jaggayyapeta.png,Srungavarapukota.png,tenali.png,kodur.png,venkatagiri.png,urvakonda.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,tadikonda.png,eluru.png,palakollu.png,pulivendula.png,kanigiri.png,kalayan_durg.png,madugula.png,unguturu.png,sattenapalli.png,Venkata_Mahesh.png,prathipadu.png,paturi_nagabhusnam.png,rayachoti.png,paderu.png,nandikotkur.png,tadepalligudem.png,tekkali.png,jammalamadugu.png,pawan.png
1rlVcLyzFfY,2021-02-15,250.0,0.0,2149.0,0.9884479641914368,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f1K7QU8bIdQ,2023-02-06,275.0,0.0,565.0,-0.9994651675224304,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ykDCTCrpo4,2023-01-12,120.0,4.0,4016.0,0.9921780228614808,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEr-Et17dFk,2023-02-12,300.0,8.0,8987.0,-0.997913658618927,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U88fBuJiMmw,2022-12-27,190.0,4.0,25783.0,-0.9306549429893494,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DnAfykMs2Kc,2022-12-22,189.0,25.0,2692.0,-0.9992210865020752,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeTx6iPwXIY,2023-01-19,227.0,0.0,2894.0,-0.998794436454773,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ifooqlK7j5c,2022-12-09,354.0,0.0,336.0,0.9957798719406128,TV9,Corona,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SrvzdQrt9TY,2023-03-16,208.0,5.0,10139.0,0.9980992674827576,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56wg_-Kdvw8,2022-12-22,276.0,0.0,2330.0,-0.9930845499038696,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wPbXa7J_HwA,2022-12-22,329.0,19.0,2324.0,0.9937322735786438,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1Ae3XFgTorY,2022-10-24,278.0,26.0,15696.0,0.9888843297958374,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mnebA9NK2bU,2022-12-28,210.0,0.0,721.0,-0.9845284819602966,TV5,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
l3MBuPvVbqg,2022-08-31,208.0,1.0,977.0,0.9987927675247192,TV5,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ePV--UjGM,2022-12-25,501.0,4.0,3288.0,0.9984501600265504,TV9,Corona,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0
d6BO_cDI1ME,2022-12-23,62.0,0.0,589.0,-0.9973040819168092,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PNTE42xQpvk,2022-03-10,177.0,4.0,5910.0,-0.988101363182068,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pXhRZDtn0jg,2022-09-08,181.0,0.0,1854.0,-0.988698422908783,TV5,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XOI91fhYCes,2022-12-21,103.0,6.0,8809.0,-0.9970889687538148,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rwTRK8IThuA,2022-07-02,411.0,109.0,39360.0,-0.9987717270851136,Sakshi,Corona,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1
Z_QI1c6oevg,2022-12-15,205.0,6.0,6585.0,0.9955574870109558,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9A3VbVuKZCA,2022-02-21,224.0,6.0,2344.0,0.9976676106452942,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-lrs9Zg2_Eo,2023-01-12,170.0,3.0,698.0,0.9957276582717896,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omz3yfOYRPk,2022-12-27,268.0,0.0,4968.0,0.9835720658302308,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0np2WqNMIc,2022-12-21,42898.0,56.0,597141.0,0.9979053735733032,ABN,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LbVUavaV_Fg,2022-12-24,19955.0,35.0,528042.0,0.995030403137207,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DsV4MqY1Yrs,2023-01-05,32.0,2.0,1440.0,-0.9741607308387756,TV9,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sfrdkZQL2W8,2020-03-13,308.0,2.0,10840.0,-0.997025430202484,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-fRwqLOz4o,2021-02-16,303.0,59.0,62814.0,-0.9886821508407592,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H7aB7fpYC7U,2022-10-11,230.0,40.0,31174.0,-0.9813489317893982,TV5,Corona,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iCkLiaA5hGU,2022-11-16,526.0,98.0,140818.0,0.9980103373527528,Sakshi,Corona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
