ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,kodur.png,mummidivaram.png,kondapi.png,pulivendula.png,tuni.png
KlZmMa-u76w,2023-04-15,313.0,4.0,1574.0,0.998166561126709,Sakshi,Dadisetti Raja,0,0,0,0,1
Q8LBi0xDTUA,2022-12-03,509.0,12.0,1878.0,-0.9955108165740968,Sakshi,Dadisetti Raja,0,1,1,0,1
80to6ri6QVw,2022-10-30,79.0,13.0,3431.0,0.9966817498207092,Sakshi,Dadisetti Raja,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,Dadisetti Raja,0,0,0,0,0
0UUxCjAXtnI,2019-07-01,219.0,0.0,62151.0,0.9951696991920472,Sakshi,Dadisetti Raja,0,0,0,0,0
xocLJ9oxkx8,2022-06-30,1510.0,4.0,2122.0,0.9942259192466736,Sakshi,Dadisetti Raja,0,0,0,0,0
jVZbX3MpqP8,2023-02-09,77.0,0.0,404.0,0.9982596039772034,ABN,Dadisetti Raja,0,0,0,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,Dadisetti Raja,0,0,0,0,0
hEVbk2QEwls,2023-01-11,210.0,0.0,16570.0,0.9776792526245116,TV9,Dadisetti Raja,0,0,0,0,0
fbR_CRcKPQU,2021-02-21,319.0,2.0,6558.0,0.9983177185058594,Sakshi,Dadisetti Raja,0,0,0,0,0
PSxfBlwD7sk,2023-01-29,57.0,1.0,2158.0,0.9985612034797668,TV9,Dadisetti Raja,0,0,0,0,0
oRi0bJ4VvAw,2022-12-03,931.0,5.0,1858.0,0.9917005896568298,Sakshi,Dadisetti Raja,0,0,0,0,0
e_aDtMt2RRI,2022-10-02,42.0,1.0,345.0,0.9987077713012696,TV5,Dadisetti Raja,0,0,0,0,0
lCcCfv--9wc,2023-02-17,3110.0,3.0,4808.0,0.9897305965423584,TV9,Dadisetti Raja,0,0,0,0,0
Z9RUpVLEIro,2021-02-15,196.0,10.0,4008.0,0.9924942255020142,Sakshi,Dadisetti Raja,0,0,0,1,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,Dadisetti Raja,0,0,0,0,0
2PK9KiIGyFk,2022-11-02,185.0,0.0,368.0,-0.9978125095367432,ABN,Dadisetti Raja,0,0,0,0,0
aWQObdPPBdg,2022-05-25,140.0,22.0,2830.0,-0.9953430891036988,Sakshi,Dadisetti Raja,0,0,0,0,1
t2wa5zQEivk,2022-10-17,5690.0,4.0,7387.0,0.9927761554718018,Sakshi,Dadisetti Raja,0,0,0,0,0
TITpyoPbyE8,2022-10-18,365.0,15.0,1694.0,-0.9970768690109252,Sakshi,Dadisetti Raja,1,0,0,0,1
QLZxb10_9Q4,2021-02-21,226.0,1.0,845.0,0.9984815716743468,Sakshi,Dadisetti Raja,0,0,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,Dadisetti Raja,0,0,0,0,0
dEuN8PPiJTg,2022-10-23,139.0,7.0,4314.0,0.9988555908203124,TV5,Dadisetti Raja,0,0,0,0,0
vYZAd6z7psk,2022-12-05,98.0,2.0,1940.0,0.9967818260192872,Sakshi,Dadisetti Raja,0,1,1,0,1
Id39UlUvKUU,2022-11-25,208.0,0.0,58301.0,-0.996977686882019,TV9,Dadisetti Raja,0,0,0,0,0
n_KxFDik0GI,2022-08-29,277.0,27.0,6454.0,-0.9944104552268982,TV5,Dadisetti Raja,0,0,0,0,0
Ju_QEzhi6A0,2022-12-28,297.0,2.0,1640.0,0.9937888979911804,Sakshi,Dadisetti Raja,1,0,1,1,1
z3JGog6-7Wg,2022-09-16,45.0,0.0,466.0,0.9948838353157043,TV5,Dadisetti Raja,0,0,0,0,0
rUa5HhcDH5w,2023-04-05,125.0,1.0,1427.0,0.9977287650108336,TV9,Dadisetti Raja,0,0,0,0,0
MChnFpmYgRw,2023-04-10,191.0,107.0,18054.0,0.973728895187378,TV9,Dadisetti Raja,0,0,0,0,0
t_lPzAk56SM,2021-02-20,213.0,0.0,2274.0,0.998498558998108,Sakshi,Dadisetti Raja,0,0,0,0,0
TLX0-q9mKcQ,2022-12-01,231.0,2.0,22348.0,-0.9966452717781068,TV9,Dadisetti Raja,0,0,0,0,0
DF0Cc-bkyv0,2023-02-12,316.0,34.0,48267.0,0.9969791173934937,TV5,Dadisetti Raja,0,0,0,0,0
2O4Iu-bpP30,2022-05-25,254.0,25.0,5505.0,-0.9940025210380554,Sakshi,Dadisetti Raja,1,1,1,0,1
uo6k0dyy6jo,2022-12-22,195.0,17.0,18167.0,0.9984810948371888,TV9,Dadisetti Raja,0,0,0,0,0
w1l9wqetaA8,2023-01-05,186.0,0.0,875.0,-0.9843438863754272,Sakshi,Dadisetti Raja,0,0,0,0,1
nTt599-3yk0,2023-03-19,174.0,6.0,1874.0,0.9944226145744324,TV9,Dadisetti Raja,0,0,0,1,1
TDsMzGOO7QA,2022-12-20,204.0,18.0,21626.0,-0.993137001991272,TV9,Dadisetti Raja,0,0,0,0,0
SUe4DhsDOoE,2023-03-24,134.0,10.0,22225.0,0.9943872690200806,TV9,Dadisetti Raja,0,0,0,0,0
S9npJYigyW0,2022-11-27,68.0,0.0,1156.0,-0.9908213019371032,TV9,Dadisetti Raja,0,0,0,0,0
kC_v-fIqJLE,2022-11-21,188.0,2.0,12016.0,0.994716227054596,TV9,Dadisetti Raja,0,0,0,0,0
dUM2QL4G4tA,2023-03-08,226.0,0.0,46766.0,-0.9899062514305116,TV9,Dadisetti Raja,0,0,0,0,0
xG9Q9g5mmF4,2022-12-09,245.0,4.0,2185.0,-0.9947564601898192,ABN,Dadisetti Raja,0,0,0,0,0
hfMyioXUEh4,2023-01-05,177.0,5.0,49964.0,-0.985933482646942,TV9,Dadisetti Raja,0,0,0,0,0
Eqsp8MEc9fo,2022-10-12,316.0,42.0,15494.0,0.998273491859436,TV5,Dadisetti Raja,0,0,0,0,0
WprJWpCMBkw,2023-02-06,144.0,21.0,5664.0,0.9980005621910096,TV5,Dadisetti Raja,0,0,0,0,0
utQHxczDAHk,2023-03-19,128.0,6.0,3433.0,-0.9688801765441896,TV9,Dadisetti Raja,0,0,1,1,1
iYHqKetD9OE,2023-03-10,155.0,4.0,2941.0,-0.99729984998703,ABN,Dadisetti Raja,0,0,0,0,0
ZOP5MFBjVgw,2022-05-25,225.0,12.0,4291.0,-0.9991812109947203,Sakshi,Dadisetti Raja,0,0,1,0,1
myxLlJ8vRW0,2021-02-16,200.0,0.0,1474.0,0.9917044639587402,Sakshi,Dadisetti Raja,1,0,0,0,0
BeCoiplHyrc,2022-09-28,147.0,21.0,8117.0,-0.7784550786018372,Sakshi,Dadisetti Raja,0,1,0,0,1
7mtTnib-VcE,2023-04-21,171.0,53.0,14324.0,-0.9945995807647704,Sakshi,Dadisetti Raja,0,0,0,0,1
ljqRdewxwwY,2023-02-04,261.0,1.0,2096.0,-0.9947581887245178,Sakshi,Dadisetti Raja,0,0,0,0,1
apeGLY-x69E,2023-01-05,84.0,4.0,1654.0,0.9959985017776488,Sakshi,Dadisetti Raja,0,0,0,0,0
RIBMjw94NfE,2019-12-20,284.0,2.0,2154.0,0.9982081651687622,Sakshi,Dadisetti Raja,0,0,0,0,0
O_NiBkx175U,2022-09-28,146.0,3.0,581.0,-0.9979678988456726,TV5,Dadisetti Raja,0,0,0,0,0
zjOpr6ErPr0,2022-12-17,194.0,8.0,4340.0,0.9955126643180848,TV9,Dadisetti Raja,0,0,0,0,0
3_09BPW99Aw,2021-02-18,240.0,9.0,18811.0,-0.997835338115692,Sakshi,Dadisetti Raja,0,0,0,0,0
EdG32VvLl7o,2023-03-19,95.0,3.0,1407.0,-0.9992363452911376,TV9,Dadisetti Raja,0,0,0,1,1
P_9GNZGzX-I,2022-10-18,251.0,6.0,1352.0,-0.9982689619064332,Sakshi,Dadisetti Raja,1,0,1,0,1
iRWB4W7H-fw,2022-09-12,149.0,20.0,3538.0,-0.9972834587097168,Sakshi,Dadisetti Raja,1,0,0,0,1
eeQB9GpOSL0,2023-03-19,139.0,19.0,2388.0,0.9957905411720276,TV9,Dadisetti Raja,0,0,0,1,1
dyKPoLDraPQ,2023-03-19,98.0,7.0,2474.0,-0.993285596370697,TV9,Dadisetti Raja,0,1,0,1,1
CWBf6i3KkFs,2023-03-19,101.0,9.0,3236.0,-0.9937779903411864,TV9,Dadisetti Raja,0,1,1,1,1
_FcjzfCZavQ,2023-04-21,494.0,10.0,1285.0,0.9981310963630676,Sakshi,Dadisetti Raja,0,0,0,0,0
0DL1hPQok1g,2023-03-14,213.0,0.0,399.0,-0.9928529858589172,TV5,Dadisetti Raja,0,0,0,0,0
MjUKznUB7Uw,2023-01-10,270.0,8.0,3036.0,-0.998596727848053,TV9,Dadisetti Raja,0,0,0,0,0
mjKoeiNPMmY,2021-02-17,228.0,1.0,4760.0,0.991859257221222,Sakshi,Dadisetti Raja,0,0,0,0,0
