ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,kodur.png,kadapa_l.png,vishakapatnam_west.png,kakinada.png,pulivendula.png,kanigiri.png,kalayan_durg.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,nandikotkur.png,tekkali.png
dWdjjx806do,2022-09-26,90.0,0.0,714.0,0.9952587485313416,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
cy5Y5FtgfQY,2023-01-28,160.0,7.0,3023.0,-0.9838159680366516,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
j5NIbC71Sh8,2022-09-27,265.0,8.0,4964.0,0.9861499071121216,Sakshi,Devineni Avinash,0,0,1,0,0,1,0,0,0,0,0,0,0
UMrvP7ILgis,2022-03-27,326.0,1.0,2973.0,0.9980177879333496,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
Ljl9pXbi5Qs,2023-01-27,330.0,81.0,112441.0,-0.998158037662506,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,1,0,0
xVrI1gQrOug,2023-01-23,98.0,2.0,1629.0,0.9983955025672911,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
reg89vQ6bKg,2023-01-28,610.0,6.0,3080.0,0.9976094961166382,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
HNnYN_6dMDw,2023-01-04,144.0,26.0,21159.0,0.9962137341499328,Sakshi,Devineni Avinash,0,0,0,0,0,1,0,0,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
9E6L-kG1w2Q,2023-01-26,180.0,17.0,11049.0,-0.9936410784721376,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
0UUxCjAXtnI,2019-07-01,219.0,0.0,62151.0,0.9951696991920472,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
bF1pU8N1pzU,2023-01-20,283.0,10.0,3281.0,0.998381733894348,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
uOsBWS7d3Vw,2023-01-01,118.0,0.0,701119.0,-0.9919900298118592,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
Ha1USBTlhUA,2021-09-13,521.0,6.0,5169.0,-0.9895756244659424,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
kjr3KF0eym0,2022-09-14,75.0,1.0,1708.0,0.992456555366516,TV5,Devineni Avinash,0,0,0,0,0,0,0,1,0,0,0,0,0
vhhV3TpmuzU,2022-11-08,221.0,4.0,1119.0,-0.9920280575752258,ABN,Devineni Avinash,0,0,0,0,0,0,1,0,0,0,0,0,1
BZWf0oO78ZU,2023-01-24,389.0,9.0,7476.0,-0.9994947910308838,TV5,Devineni Avinash,0,0,1,0,0,0,0,1,0,0,0,0,0
YWOmDqIbLLM,2023-01-10,235.0,176.0,314765.0,-0.997204601764679,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
wjZgFmo5K4s,2023-04-07,382.0,52.0,16976.0,0.998370349407196,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
5HyOOljExec,2023-01-22,577.0,20.0,2953.0,0.9984378218650818,Sakshi,Devineni Avinash,1,0,0,0,0,0,0,0,1,1,0,0,0
_V5zlIvJVJY,2023-02-06,485.0,0.0,627.0,0.992946445941925,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
lnYckS_E0sY,2023-01-10,181.0,5.0,3829.0,-0.9937856197357178,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
pJOO4WFMqkk,2023-01-31,260.0,17.0,9042.0,-0.9975263476371764,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
Pz5uGsB7YBs,2022-08-24,75.0,0.0,1067.0,-0.9971996545791626,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
q_GcGS9rb5c,2023-01-11,164.0,7.0,1068.0,-0.974984645843506,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
hEVbk2QEwls,2023-01-11,210.0,0.0,16570.0,0.9776792526245116,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
oH6A_QJ9Kug,2023-01-24,206.0,11.0,10193.0,-0.997503697872162,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
-adufcMpqac,2022-10-12,400.0,82.0,38770.0,-0.9963098168373108,Sakshi,Devineni Avinash,0,1,0,1,1,0,0,0,0,1,0,0,1
gJtyy8CX_u8,2022-12-06,225.0,0.0,2808.0,-0.9983162879943848,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
fbR_CRcKPQU,2021-02-21,319.0,2.0,6558.0,0.9983177185058594,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
MxSK2oJUeuQ,2023-04-08,642.0,14.0,5676.0,0.9826070666313172,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
8kJsfFcFhIM,2022-11-01,85.0,0.0,1294.0,-0.9489033222198486,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
PSxfBlwD7sk,2023-01-29,57.0,1.0,2158.0,0.9985612034797668,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
IPN8sDaLdMo,2023-01-15,285.0,30.0,32486.0,0.998630702495575,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
I_2h09SGA4E,2023-04-17,281.0,12.0,892.0,-0.9931825995445251,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
sd-4xO8P6c4,2023-01-12,75.0,1.0,1201.0,-0.9982995390892028,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
RHRxEB2SMCg,2023-01-01,361.0,4.0,3126.0,0.994934618473053,Sakshi,Devineni Avinash,0,1,0,1,1,0,0,0,0,0,0,0,1
pXPS7c9_ipg,2022-12-27,450.0,11.0,1441.0,-0.9971119165420532,ABN,Devineni Avinash,0,0,0,0,0,1,0,0,0,0,0,0,0
eCe_dUL7VpI,2023-01-11,224.0,8.0,1954.0,-0.9978904128074646,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
Oe5eGpskEk4,2023-01-23,460.0,44.0,50222.0,0.9880940318107604,TV5,Devineni Avinash,0,0,1,0,0,0,0,0,0,0,0,0,0
KUXHvUkKUqw,2022-05-20,221.0,90.0,23771.0,0.99698668718338,Sakshi,Devineni Avinash,0,0,1,0,0,0,0,0,1,0,0,0,1
jirOrHAt2Lo,2023-02-22,577.0,32.0,15544.0,-0.985985279083252,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
-gKNGwuPaj4,2023-01-24,164.0,24.0,14113.0,0.9958333969116212,TV9,Devineni Avinash,0,0,1,0,0,0,0,0,0,0,0,0,0
kofLBAJqtMU,2023-01-28,330.0,61.0,106896.0,-0.997648298740387,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,1,0,0
P68U0Yusmxw,2022-11-23,217.0,7.0,34569.0,-0.9986867308616638,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
iTbMtm-16Ig,2022-12-06,493.0,3.0,2942.0,-0.9986439347267152,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
_T0bnZTkd_8,2022-07-04,322.0,17.0,6027.0,0.9962673783302308,Sakshi,Devineni Avinash,0,0,1,0,0,0,1,0,0,0,0,1,0
dhWL_QxJDG0,2022-12-06,533.0,18.0,13179.0,-0.998915672302246,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
VlAZtqAQALo,2022-09-30,70.0,0.0,2875.0,-0.9897167086601256,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
LR4IOb2Fb-U,2022-09-24,179.0,0.0,1421.0,0.9987670183181764,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
yFL9oKMbPZA,2023-02-12,394.0,4.0,8082.0,0.9925570487976074,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
XEpkRcMEcKo,2023-01-31,135.0,1.0,5515.0,-0.998021960258484,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
XrBt58Gqkjo,2020-03-09,296.0,0.0,1929.0,0.937455117702484,Sakshi,Devineni Avinash,1,0,0,0,0,0,0,0,0,0,0,1,0
2kAkWIK9eBQ,2023-01-02,219.0,18.0,158617.0,-0.6126271486282349,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
L8-EC9_n4kw,2023-01-10,5335.0,6.0,10952.0,0.9282258152961732,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
kgA08Sgeb7M,2022-12-01,158.0,0.0,951.0,-0.9804808497428894,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
GViHkiS5Zi4,2023-02-13,292.0,8.0,6833.0,-0.9898471236228944,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
-6cUBHZnmX0,2022-10-16,210.0,0.0,559.0,-0.9915981292724608,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
Z9RUpVLEIro,2021-02-15,196.0,10.0,4008.0,0.9924942255020142,Sakshi,Devineni Avinash,0,0,0,0,0,1,0,0,0,1,0,0,0
yWrQicxQnKg,2023-01-05,181.0,14.0,3595.0,-0.9958645105361938,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
xdb4PVbioWM,2023-01-11,82.0,8.0,7569.0,-0.9979933500289916,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
NmnvKDeYQ_A,2022-12-07,32.0,0.0,2224.0,-0.9990884065628052,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
-yHzjwyP0-g,2022-10-18,270.0,12.0,3673.0,-0.9937998652458192,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
b_djt-_aH2U,2022-11-18,228.0,4.0,14131.0,-0.9908987283706664,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
ZM3-sjt08Ao,2021-11-03,365.0,4.0,3640.0,0.9951784610748292,Sakshi,Devineni Avinash,0,0,1,0,0,0,0,0,0,0,0,0,0
R_MXAg0LPqI,2022-11-13,359.0,1.0,2297.0,-0.9984949827194214,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
MvrDiHrzrgY,2023-01-11,115.0,12.0,14721.0,-0.9639008045196532,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
