ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,tenali.png,kodur.png,pulivendula.png,Venkata_Mahesh.png,myalavaram.png
MN00Kwvcvx4,2022-10-17,187.0,0.0,338.0,-0.990255892276764,ABN,Devineni Uma,0,0,0,0,0
6vFH47yhodQ,2022-09-06,151.0,0.0,1545.0,0.9976868629455566,TV5,Devineni Uma,0,0,0,0,0
PhZQJATSlv4,2022-09-06,2536.0,8.0,3620.0,0.9984086155891418,TV5,Devineni Uma,0,0,0,0,0
xVrI1gQrOug,2023-01-23,98.0,2.0,1629.0,0.9983955025672911,TV9,Devineni Uma,0,0,0,0,0
sk-upwLLfug,2021-07-28,408.0,31.0,7940.0,-0.9981852173805236,Sakshi,Devineni Uma,0,0,1,0,0
b2e5u38g2v8,2022-12-17,195.0,1.0,1108.0,-0.9981825351715088,ABN,Devineni Uma,1,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,Devineni Uma,0,0,0,0,0
0UUxCjAXtnI,2019-07-01,219.0,0.0,62151.0,0.9951696991920472,Sakshi,Devineni Uma,0,0,0,0,0
3B036kCSEV0,2022-09-13,178.0,178.0,105141.0,-0.9945904016494752,TV5,Devineni Uma,0,0,0,0,0
6Dst3HQOu6Y,2022-10-18,290.0,35.0,21148.0,-0.9766181707382202,TV5,Devineni Uma,0,0,0,0,0
uOsBWS7d3Vw,2023-01-01,118.0,0.0,701119.0,-0.9919900298118592,ABN,Devineni Uma,0,0,0,0,0
jVZbX3MpqP8,2023-02-09,77.0,0.0,404.0,0.9982596039772034,ABN,Devineni Uma,0,0,0,0,0
kjr3KF0eym0,2022-09-14,75.0,1.0,1708.0,0.992456555366516,TV5,Devineni Uma,0,0,0,0,0
vu01JseFzSs,2023-02-11,143.0,7.0,4033.0,-0.9972509741783142,Sakshi,Devineni Uma,0,0,0,0,1
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,Devineni Uma,0,0,0,0,0
Pz5uGsB7YBs,2022-08-24,75.0,0.0,1067.0,-0.9971996545791626,TV5,Devineni Uma,0,0,0,0,0
hEVbk2QEwls,2023-01-11,210.0,0.0,16570.0,0.9776792526245116,TV9,Devineni Uma,0,0,0,0,0
fbR_CRcKPQU,2021-02-21,319.0,2.0,6558.0,0.9983177185058594,Sakshi,Devineni Uma,0,0,0,0,0
wAwgCzHGOZ8,2020-03-06,565.0,5.0,1594.0,-0.998441755771637,Sakshi,Devineni Uma,0,0,0,0,1
PSxfBlwD7sk,2023-01-29,57.0,1.0,2158.0,0.9985612034797668,TV9,Devineni Uma,0,0,0,0,0
IPN8sDaLdMo,2023-01-15,285.0,30.0,32486.0,0.998630702495575,TV9,Devineni Uma,0,0,0,0,0
YmDsjmf_svY,2022-11-25,342.0,1.0,3128.0,0.9941400289535522,TV9,Devineni Uma,1,0,0,0,1
vpiQfTrCA-c,2022-11-26,157.0,1.0,956.0,-0.9967026114463806,TV9,Devineni Uma,0,0,0,0,1
P68U0Yusmxw,2022-11-23,217.0,7.0,34569.0,-0.9986867308616638,TV9,Devineni Uma,0,0,0,0,0
CagKVHyKk8o,2022-10-10,100.0,3.0,9195.0,0.9683306813240052,TV5,Devineni Uma,0,0,0,0,0
awcAp0k_wK0,2023-01-19,100.0,2.0,3331.0,-0.9947580695152284,TV9,Devineni Uma,0,0,0,0,0
VlAZtqAQALo,2022-09-30,70.0,0.0,2875.0,-0.9897167086601256,TV5,Devineni Uma,0,0,0,0,0
kQCQpd-qVZQ,2023-01-27,114.0,2.0,3323.0,0.9955539107322692,TV5,Devineni Uma,0,0,0,0,0
LR4IOb2Fb-U,2022-09-24,179.0,0.0,1421.0,0.9987670183181764,TV5,Devineni Uma,0,0,0,0,0
QuR5AbJ2LEw,2023-01-16,68.0,0.0,6599.0,0.9982593655586244,TV9,Devineni Uma,0,0,0,0,0
Z9RUpVLEIro,2021-02-15,196.0,10.0,4008.0,0.9924942255020142,Sakshi,Devineni Uma,0,0,1,1,0
XGFtkmzEvto,2022-09-24,146.0,6.0,3390.0,-0.9939191341400146,TV5,Devineni Uma,0,0,0,0,0
t4olojcdV4s,2022-09-16,219.0,51.0,21948.0,0.998330295085907,TV5,Devineni Uma,0,0,0,0,0
l8RKpTtSbN0,2021-02-21,306.0,1.0,8962.0,0.99410879611969,Sakshi,Devineni Uma,0,0,0,0,0
b_djt-_aH2U,2022-11-18,228.0,4.0,14131.0,-0.9908987283706664,TV9,Devineni Uma,0,0,0,0,0
seYAvb3NaY4,2021-02-21,206.0,0.0,3778.0,0.9983708262443542,Sakshi,Devineni Uma,0,0,0,0,0
R_MXAg0LPqI,2022-11-13,359.0,1.0,2297.0,-0.9984949827194214,ABN,Devineni Uma,0,0,0,0,0
GI7JIZP__Gs,2022-11-23,207.0,2.0,11822.0,-0.9948220252990724,TV9,Devineni Uma,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,Devineni Uma,0,0,0,0,0
gz6XGnQ4_rI,2022-09-22,6278.0,4.0,16679.0,-0.9954344630241394,TV5,Devineni Uma,0,0,0,0,0
ZS7wXbeXos8,2019-06-30,49.0,0.0,761.0,-0.9917728304862976,Sakshi,Devineni Uma,0,0,0,0,0
kuuTHoxIdqo,2022-09-07,168.0,1.0,2517.0,0.9972073435783386,TV5,Devineni Uma,0,0,0,0,0
9cNfk_Xbk9Q,2022-09-22,79.0,11.0,2007.0,0.9961817264556884,TV5,Devineni Uma,0,0,0,0,0
0PCABzFavBw,2022-10-20,6990.0,1.0,9277.0,0.988949418067932,ABN,Devineni Uma,0,0,0,0,0
JMS5zz9MN9M,2023-02-10,116.0,0.0,591.0,0.998626708984375,ABN,Devineni Uma,0,0,0,0,0
wBfPfMzYwNE,2022-12-31,386.0,2.0,3627.0,0.9987718462944032,TV9,Devineni Uma,0,0,0,0,0
J4NPmkv27ls,2023-01-19,199.0,2.0,22543.0,-0.994531512260437,TV9,Devineni Uma,0,0,0,0,0
UEGorQe2mcw,2022-11-16,170.0,12.0,3608.0,-0.9986771941184998,TV5,Devineni Uma,0,0,0,0,0
FKG1L54V1pg,2022-06-01,316.0,17.0,3650.0,0.9984717965126038,Sakshi,Devineni Uma,0,0,0,0,0
oOmDi8l_D7Q,2022-09-05,90.0,0.0,2114.0,0.9973599314689636,TV5,Devineni Uma,0,0,0,0,0
9DiLSzKopCE,2023-01-14,206.0,5.0,55892.0,-0.9928379654884338,TV9,Devineni Uma,0,0,0,0,0
YX2F3vSISoM,2019-12-21,283.0,0.0,1516.0,0.9983395338058472,Sakshi,Devineni Uma,0,0,1,0,0
Ww-22Lw5djA,2022-11-26,154.0,0.0,789.0,-0.9959955215454102,TV9,Devineni Uma,0,0,0,0,1
ZQVyTMNyoPE,2023-02-10,264.0,0.0,3427.0,0.9951928853988647,TV9,Devineni Uma,0,0,0,0,1
rPBNvWfnRRE,2023-03-25,194.0,9.0,12019.0,0.9984833598136902,Sakshi,Devineni Uma,0,0,0,0,0
c9olvmA2q-g,2022-10-22,316.0,13.0,8955.0,-0.9859963059425354,TV5,Devineni Uma,0,0,0,0,0
72u0nKLaG40,2022-05-02,318.0,2.0,2185.0,0.9921452403068542,Sakshi,Devineni Uma,0,0,0,0,0
A1HgkfjFzvc,2022-11-04,93.0,6.0,2003.0,-0.9963079690933228,TV5,Devineni Uma,0,0,0,0,0
pfZHPRYPa3o,2023-01-05,305.0,1.0,2219.0,-0.997738242149353,ABN,Devineni Uma,0,0,0,0,0
hlaHRvi6FZM,2023-02-22,58.0,56.0,19871.0,-0.9988755583763124,Sakshi,Devineni Uma,0,0,0,0,0
ASuCr2EAc5U,2022-11-05,65.0,0.0,961.0,-0.9974017143249512,TV5,Devineni Uma,0,0,0,0,0
XfSRUyHZyVo,2023-01-20,598.0,31.0,57170.0,-0.9781704545021056,Sakshi,Devineni Uma,0,0,0,0,0
QLZxb10_9Q4,2021-02-21,226.0,1.0,845.0,0.9984815716743468,Sakshi,Devineni Uma,0,0,0,0,0
AUvzv9vGNd0,2022-09-30,78.0,1.0,1003.0,0.998392641544342,TV5,Devineni Uma,0,0,0,0,0
heHoPS0ls3k,2022-12-19,112.0,14.0,2574.0,-0.9968035221099854,Sakshi,Devineni Uma,0,0,0,0,0
vVM9jhdfbvU,2023-02-07,174.0,0.0,3082.0,0.9931333661079408,TV5,Devineni Uma,0,0,0,0,0
kyau7JHkD40,2023-01-30,306.0,0.0,5616.0,-0.9983130693435668,TV5,Devineni Uma,0,0,0,0,0
988-XS0JjuQ,2022-08-22,75.0,0.0,854.0,0.9943418502807616,TV5,Devineni Uma,0,0,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,Devineni Uma,0,0,0,0,0
GInOO8OP-nI,2023-01-02,462.0,0.0,2359.0,-0.9978768825531006,TV5,Devineni Uma,0,0,0,1,0
LIbSq65Wba4,2023-03-19,346.0,0.0,2454.0,0.9904049634933472,TV9,Devineni Uma,0,0,0,0,0
W-PIaDqr404,2022-11-03,301.0,3.0,2130.0,0.998698353767395,ABN,Devineni Uma,0,0,0,0,0
HJ_OPHLYGkk,2022-12-12,53.0,0.0,428.0,0.9958881735801696,TV9,Devineni Uma,0,0,0,0,0
dEuN8PPiJTg,2022-10-23,139.0,7.0,4314.0,0.9988555908203124,TV5,Devineni Uma,0,0,0,0,0
S4SRUVqE0M8,2022-11-08,75.0,2.0,837.0,0.9862988591194152,TV5,Devineni Uma,0,0,0,0,0
3a7fLv0_Pgc,2022-10-20,125.0,18.0,14975.0,-0.9928359389305116,TV5,Devineni Uma,0,0,0,0,0
opRsu4_20Bk,2023-01-14,119.0,0.0,1946.0,0.985365867614746,TV9,Devineni Uma,0,0,0,0,0
VAUd5DCNeBo,2023-01-08,215.0,0.0,704.0,-0.9906409382820128,TV5,Devineni Uma,0,0,0,0,0
Nwd787queb0,2023-01-16,180.0,3.0,39421.0,0.99775367975235,TV9,Devineni Uma,0,0,0,0,0
H1GziUY9hsg,2022-12-28,114.0,6.0,1994.0,0.9987871050834656,Sakshi,Devineni Uma,0,0,0,0,0
ZHUBaXpoUvY,2023-03-29,85.0,0.0,571.0,0.9979806542396544,TV5,Devineni Uma,0,0,0,0,0
Id39UlUvKUU,2022-11-25,208.0,0.0,58301.0,-0.996977686882019,TV9,Devineni Uma,0,0,0,0,0
GCwtsUmtJ0g,2022-09-11,321.0,35.0,41158.0,-0.997289538383484,TV5,Devineni Uma,0,0,0,0,0
PJmnj9vVHvo,2022-12-02,137.0,0.0,665.0,-0.9934499859809875,TV9,Devineni Uma,0,0,0,0,0
