ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,mantralayam.png,penukonda.png,vizianagaram_.png,vijayawada_l.png,jaggayyapeta.png,Srungavarapukota.png,tenali.png,kodur.png,venkatagiri.png,urvakonda.png,alur.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,nellore_city.png,tadikonda.png,eluru.png,palakollu.png,gudivada.png,puttaparthi.png,mandanapalli.png,myudukur.png,Rajam.png,pulivendula.png,vijayawada_west.png,kanigiri.png,srikalahasti.png,vinukonda.png,sarvepalli.png,vishakapatnam_south.png,kalayan_durg.png,madugula.png,unguturu.png,sattenapalli.png,Etcherla.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,bhimavaram.png,myalavaram.png,kurupam.png,paderu.png,nandikotkur.png,vizianagaram.png,tadepalligudem.png,tekkali.png,palakonda.png,Narasannapeta.png
sOhg8025Q7c,2022-11-09,189.0,11.0,3606.0,0.9983701109886168,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HZ67NBd3oxc,2022-12-14,323.0,4.0,1965.0,0.989526867866516,TV9,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QecIi9BoMKs,2023-01-12,213.0,11.0,3439.0,0.9978523254394532,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x5WTvCOMXI8,2022-12-09,236.0,1.0,2747.0,-0.9979913234710692,ABN,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMrvP7ILgis,2022-03-27,326.0,1.0,2973.0,0.9980177879333496,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jcHx95VXfDU,2022-09-12,153.0,1.0,1313.0,0.9986376166343688,TV5,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pQ4IrWaQu94,2022-12-10,199.0,5.0,2373.0,-0.9983313679695128,ABN,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dWlw9rUf3Mw,2022-07-14,251.0,0.0,919.0,-0.9882657527923584,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sra_Xz0f4b4,2023-01-23,64.0,3.0,803.0,0.9934817552566528,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65ESY4s02u0,2023-01-23,342.0,0.0,766.0,-0.9989935755729676,ABN,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iAzsHYwe4Is,2022-11-18,85.0,53.0,342941.0,0.9962297081947328,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d0auH2XUglw,2022-11-09,156.0,3.0,2534.0,0.9958413243293762,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AStFh8MgDUE,2022-05-20,85.0,45.0,33211.0,-0.997041404247284,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
h5UZ6KTLHtI,2022-08-27,5865.0,8.0,24914.0,-0.9966793060302734,TV5,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
espaP_0NC90,2023-01-31,106.0,5.0,4149.0,0.994531512260437,Sakshi,Gadapa Gadapaku ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8C1T6oS0rl0,2022-10-18,110.0,16.0,5192.0,-0.992192566394806,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dKbBE5CPazE,2022-07-23,132.0,45.0,21725.0,0.995400846004486,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-kS71Wrn-Do,2022-12-16,157.0,11.0,3384.0,0.9961838126182556,TV9,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nq30ovIQtkc,2022-11-02,6945.0,0.0,25939.0,-0.9985693693161012,TV5,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TzzurkA4Xao,2023-01-20,188.0,2.0,3599.0,0.9942938685417176,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
T1jpMOsZHs8,2022-11-13,186.0,4.0,2380.0,-0.9981619715690612,TV5,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
j4hAzHr1t54,2023-02-01,250.0,37.0,38209.0,0.9949317574501038,ABN,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ecQhoeIv9wc,2022-08-27,276.0,46.0,46973.0,-0.998769462108612,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U-ejFfar5zw,2022-09-07,245.0,0.0,2232.0,-0.9986623525619508,TV5,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OKDYPhhWKM,2022-12-16,319.0,24.0,9428.0,0.9854157567024232,TV9,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVDROuZe_5M,2022-12-13,318.0,8.0,2120.0,0.998568058013916,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8byNHoAqk6A,2022-11-22,322.0,0.0,2246.0,0.982781708240509,TV5,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1XjfjIpQaQ,2022-07-21,122.0,1.0,5230.0,0.9888259172439576,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zv33Z626ysw,2022-11-02,90.0,0.0,870.0,-0.997443675994873,TV5,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xx13CsuKLhc,2022-05-10,312.0,282.0,82972.0,-0.9988635778427124,Sakshi,Gadapa Gadapaku ,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4z6GZe0huaM,2022-12-15,164.0,3.0,1601.0,0.9961297512054444,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iXsfRH2u4LI,2022-07-14,131.0,0.0,2567.0,-0.9929872155189514,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xD2ZnYJO2hQ,2022-12-17,277.0,4.0,1329.0,-0.9938621520996094,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Q-SlIKXQAFo,2022-12-16,165.0,0.0,890.0,0.9968482851982116,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BNoCIKt_q98,2022-11-02,23684.0,83.0,286227.0,-0.9974452257156372,TV5,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBOcwUOUNrU,2023-01-03,55.0,1.0,1631.0,-0.9982616305351256,ABN,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rx42h1yymO0,2022-07-27,326.0,118.0,61090.0,-0.9989996552467346,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KUXHvUkKUqw,2022-05-20,221.0,90.0,23771.0,0.99698668718338,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
jvuwhB1-ZUM,2022-06-03,146.0,56.0,24481.0,-0.9828923940658568,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hy-ZhENvaWI,2023-01-08,1265.0,6.0,2930.0,-0.9964994192123412,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OcEdAkWkHgQ,2022-12-15,435.0,2.0,2774.0,0.9901815056800842,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rgb9BDaYIzk,2022-09-08,228.0,14.0,40173.0,-0.9992584586143494,TV5,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OsDLjPQPWmc,2023-03-01,251.0,70.0,16679.0,0.9986571073532104,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hEDlJYG_5AU,2022-12-16,133.0,5.0,2858.0,-0.9835772514343262,TV9,Gadapa Gadapaku ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fV2T7SntOOE,2022-12-03,168.0,0.0,577.0,-0.9964435696601868,ABN,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbgh4Rhv0F0,2023-01-21,224.0,6.0,864.0,-0.9897733330726624,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hx7kCAGjes0,2022-11-22,194.0,7.0,10556.0,-0.9988021850585938,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VHHdrRnFP5U,2022-07-26,192.0,0.0,3000.0,-0.9880195260047911,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z5-2rhwkZ60,2023-01-03,239.0,52.0,94369.0,-0.9973397850990297,ABN,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0vH1D3-Y4q0,2022-12-27,436.0,1.0,1254.0,0.9982205033302308,Sakshi,Gadapa Gadapaku ,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
LggfYF-y-oA,2022-11-16,178.0,10.0,2561.0,-0.9985315799713136,Sakshi,Gadapa Gadapaku ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
3uTIV0IOCbU,2022-08-27,61.0,1.0,3408.0,-0.9976075887680054,TV5,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VM8PGmtt468,2022-11-29,210.0,399.0,1883930.0,-0.9975062012672424,TV5,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jl50bCtL0mw,2022-08-29,181.0,36.0,23986.0,-0.999441921710968,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ytOzaSL58yE,2022-12-06,90.0,10.0,837.0,-0.9914014935493468,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8JRC1uxPf2A,2022-08-27,259.0,244.0,288593.0,0.996397078037262,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bVE7nUazxoQ,2022-11-27,221.0,38.0,2028.0,-0.9969854950904846,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WFJxC_VBOYw,2023-04-18,167.0,13.0,6827.0,-0.9856929779052734,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6VdWxU3YL5I,2022-07-28,208.0,12.0,8024.0,-0.9744918346405028,Sakshi,Gadapa Gadapaku ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nlEuB1vB2hA,2022-09-09,103.0,6.0,2614.0,0.997568905353546,Sakshi,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qLJW5-FOHW4,2022-12-16,245.0,77.0,69939.0,-0.9976401329040528,TV5,Gadapa Gadapaku ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
