ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,kurnool.png,gandhar_nellore.png,banaganapalle.png,penukonda.png,vizianagaram_.png,rajempet.png,achanta.png,gannavaram_vamsi.png,machillipatnam.png,Srungavarapukota.png,tenali.png,kodur.png,srikakulam_.png,venkatagiri.png,urvakonda.png,alur.png,vishakapatnam_west.png,chodavaram.png,kakinada.png,narsapuram.png,narsapuram_l.png,puthalapattu.png,tadikonda.png,eluru.png,venkat_krishna.png,palakollu.png,narasaraopet.png,gudivada.png,penamaluru.png,myudukur.png,Rajam.png,pulivendula.png,vemuru.png,kanigiri.png,vinukonda.png,sarvepalli.png,vishakapatnam_south.png,kalayan_durg.png,kaikuluru.png,madugula.png,unguturu.png,repalle.png,sattenapalli.png,Venkata_Mahesh.png,prathipadu.png,paturi_nagabhusnam.png,nellore_rural.png,rayachoti.png,nandyal_l.png,myalavaram.png,nandikotkur.png,vizianagaram.png,tadepalligudem.png,sambasivarao.png,tekkali.png,hindupur.png,pawan.png,kakinada_city.png,Narasannapeta.png,tirupati_l2.png
3qgXUhiQ0M0,2022-03-16,242.0,49.0,43482.0,-0.9969136714935304,Sakshi,Kakani,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-zxQUdPZcKM,2022-12-21,217.0,20.0,143728.0,-0.9971104860305786,TV9,Kakani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mo6pn6HHhgU,2022-11-07,186.0,3.0,1202.0,0.9745112061500548,Sakshi,Kakani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phzqj55ViCk,2019-06-30,78.0,0.0,2831.0,0.991589367389679,Sakshi,Kakani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dwInV8Mb4dc,2023-01-12,74.0,0.0,668.0,-0.9912734627723694,TV9,Kakani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rxp56EoH-KI,2022-12-29,355.0,20.0,9494.0,-0.9982105493545532,ABN,Kakani,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j3PWtDUFivs,2022-10-15,314.0,10.0,6938.0,0.9945145845413208,TV5,Kakani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMp18KoBdNQ,2022-09-26,245.0,30.0,21707.0,-0.9973383545875548,TV5,Kakani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y8fTU_86ulw,2022-11-28,1380.0,0.0,973.0,0.976780891418457,TV9,Kakani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gohBz1MjU5c,2021-12-28,125.0,63.0,33301.0,0.9979522228240968,Sakshi,Kakani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
