ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,penukonda.png,vizianagaram_.png,gannavaram_vamsi.png,Srungavarapukota.png,tenali.png,dharmavaram.png,kodur.png,srikakulam_.png,venkatagiri.png,urvakonda.png,alur.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,tadikonda.png,eluru.png,venkat_krishna.png,palakollu.png,rajinikanth.png,narasaraopet.png,kondapi.png,gajapathinagram.png,penamaluru.png,myudukur.png,pulivendula.png,kanigiri.png,vinukonda.png,sarvepalli.png,kalayan_durg.png,madugula.png,unguturu.png,sattenapalli.png,Venkata_Mahesh.png,prathipadu.png,paturi_nagabhusnam.png,bhimavaram.png,rayachoti.png,nandikotkur.png,vizianagaram.png,tadepalligudem.png,tekkali.png,jammalamadugu.png,denduluru.png,pawan.png,Narasannapeta.png,tirupati_l2.png
1rlVcLyzFfY,2021-02-15,250.0,0.0,2149.0,0.9884479641914368,Sakshi,Kethireddy Venkatarami Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moeYYRPj0DI,2022-01-08,149.0,6.0,3160.0,-0.9994599223136902,Sakshi,Kethireddy Venkatarami Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
be_omFeCrfQ,2023-04-10,219.0,42.0,20891.0,0.9879006147384644,Sakshi,Kethireddy Venkatarami Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyvh-UzGF0U,2022-11-13,147.0,0.0,999.0,-0.9993834495544434,TV5,Kethireddy Venkatarami Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iDEID60MfRs,2023-02-02,279.0,2.0,1055.0,-0.9929826259613036,TV9,Kethireddy Venkatarami Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sFhQ35_sUtQ,2023-01-30,365.0,18.0,13612.0,-0.9979110360145568,ABN,Kethireddy Venkatarami Reddy,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
1ItGponJZks,2023-02-03,140.0,60.0,61522.0,0.9961223006248474,TV5,Kethireddy Venkatarami Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1r92WdYU0i4,2023-02-14,142.0,0.0,1122.0,-0.936743974685669,TV9,Kethireddy Venkatarami Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HkM8XsaVybQ,2023-02-15,220.0,2.0,422.0,-0.97913658618927,TV5,Kethireddy Venkatarami Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMrvP7ILgis,2022-03-27,326.0,1.0,2973.0,0.9980177879333496,Sakshi,Kethireddy Venkatarami Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-bj6GAIvnp4,2022-10-22,130.0,15.0,4897.0,-0.8912807703018188,TV5,Kethireddy Venkatarami Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zNwcOkW9jpc,2022-10-01,49.0,0.0,574.0,-0.9974982142448424,TV5,Kethireddy Venkatarami Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F85J8zIgU1U,2023-02-14,361.0,5.0,1025.0,-0.9976491332054138,TV5,Kethireddy Venkatarami Reddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
