ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,venkatagiri.png,kakinada.png,kalayan_durg.png,sambasivarao.png
SrvzdQrt9TY,2023-03-16,208.0,5.0,10139.0,0.9980992674827576,Sakshi,MLC Elections 2023,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,MLC Elections 2023,0,0,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,MLC Elections 2023,0,0,0,0
WKZS322HYJs,2023-03-16,140.0,16.0,8766.0,0.997111678123474,Sakshi,MLC Elections 2023,0,0,0,0
zvr_ztdryMQ,2023-03-16,348.0,36.0,23740.0,-0.9804225564002992,Sakshi,MLC Elections 2023,1,0,0,0
ucT_vVBTHWY,2023-03-27,165.0,41.0,23897.0,0.9922612309455872,Sakshi,MLC Elections 2023,0,0,0,0
YWZMqOZnLvM,2022-12-30,349.0,5.0,2192.0,-0.8173056840896606,ABN,MLC Elections 2023,0,0,0,0
S8CwmbVZl4k,2023-02-25,252.0,57.0,18790.0,0.9984142780303956,Sakshi,MLC Elections 2023,0,0,0,0
ERJ6jfvf-1w,2023-01-31,311.0,0.0,588.0,-0.9967171549797058,ABN,MLC Elections 2023,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,MLC Elections 2023,0,0,0,0
VDeskAUgck8,2023-02-15,258.0,10.0,39554.0,0.989745318889618,ABN,MLC Elections 2023,0,0,0,0
lugFHTCEtCE,2023-02-13,220.0,9.0,8334.0,-0.9875046610832214,ABN,MLC Elections 2023,0,0,0,0
yIsqg9yA36Y,2023-03-23,270.0,19.0,9892.0,0.9984814524650574,Sakshi,MLC Elections 2023,0,0,0,0
fKTDkIeTWXI,2023-03-17,165.0,4.0,7964.0,0.991109013557434,TV5,MLC Elections 2023,0,0,0,0
vtkHWjb32GU,2023-03-24,333.0,5.0,11248.0,-0.9982378482818604,TV5,MLC Elections 2023,0,0,1,0
3CMBgRECY10,2023-03-24,205.0,30.0,13512.0,-0.9354977011680604,TV5,MLC Elections 2023,1,0,0,0
EuQ6-RM1lxk,2023-03-19,165.0,50.0,83817.0,0.9901476502418518,TV9,MLC Elections 2023,0,0,0,0
5C4TsWcbUmo,2023-03-21,152.0,4.0,3178.0,-0.997018575668335,TV5,MLC Elections 2023,0,0,0,0
TeuoFa5EdPo,2023-03-17,100.0,105.0,140366.0,-0.9986686706542968,TV5,MLC Elections 2023,0,0,0,1
5LaQzAGHhzs,2023-03-16,115.0,2.0,1725.0,0.993756890296936,TV9,MLC Elections 2023,0,0,0,0
EcNrCSqvn44,2023-03-18,158.0,3.0,20505.0,0.9927001595497132,ABN,MLC Elections 2023,0,0,0,0
72c2079s8WA,2022-11-18,220.0,18.0,3059.0,-0.997740626335144,TV5,MLC Elections 2023,0,0,0,0
QpmKawDrTgo,2023-03-17,419.0,16.0,35997.0,0.9874541759490968,TV5,MLC Elections 2023,0,0,0,0
1iQ8bzhBWKE,2023-03-19,530.0,41.0,29963.0,0.8825693130493164,TV5,MLC Elections 2023,0,0,0,0
