ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,tirupati_l.png,punganur.png,raptadu.png,kurnool.png,gandhar_nellore.png,mantralayam.png,banaganapalle.png,penukonda.png,vizianagaram_.png,razole.png,rapka.png,achanta.png,jaggayyapeta.png,Srungavarapukota.png,tenali.png,kodur.png,srikakulam_.png,venkatagiri.png,urvakonda.png,srisailam.png,alur.png,vishakapatnam_west.png,chodavaram.png,kakinada.png,narsapuram_l.png,puthalapattu.png,chintalapudi.png,eluru.png,venkat_krishna.png,palakollu.png,rajinikanth.png,narasaraopet.png,kondapi.png,puttaparthi.png,anantapur_l.png,gajapathinagram.png,penamaluru.png,myudukur.png,Rajam.png,pulivendula.png,kanigiri.png,vinukonda.png,tadipatri.png,vishakapatnam_north.png,bhimili.png,nidadavole.png,vijayawada_central.png,sarvepalli.png,singanamala.png,vishakapatnam_south.png,kalayan_durg.png,sullurpeta.png,kaikuluru.png,madugula.png,unguturu.png,rajempet_l.png,sattenapalli.png,Etcherla.png,Venkata_Mahesh.png,prathipadu.png,paturi_nagabhusnam.png,vijayawada_east.png,nellore_rural.png,rayachoti.png,nandyal_l.png,paderu.png,nandikotkur.png,vizianagaram.png,tadepalligudem.png,sambasivarao.png,tekkali.png,jammalamadugu.png,kadiri.png,hindupur.png,denduluru.png,pawan.png,palakonda.png,Narasannapeta.png,tirupati_l2.png
QxO1DeMYCVM,2021-11-10,41.0,71.0,60322.0,0.9984216690063475,Sakshi,Peddireddy ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moeYYRPj0DI,2022-01-08,149.0,6.0,3160.0,-0.9994599223136902,Sakshi,Peddireddy ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fCxIh0cujRY,2023-01-27,31.0,6.0,6063.0,-0.9919746518135072,TV9,Peddireddy ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eHx0NF5Y650,2020-03-13,923.0,10.0,5571.0,-0.99797922372818,Sakshi,Peddireddy ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ItGponJZks,2023-02-03,140.0,60.0,61522.0,0.9961223006248474,TV5,Peddireddy ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50Z7zWNZxE4,2022-12-01,155.0,0.0,1093.0,-0.9984897375106812,TV9,Peddireddy ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1Zf_KmikJw,2022-08-29,95.0,0.0,2148.0,-0.9974019527435304,TV5,Peddireddy ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0XzWfKarMs,2023-01-15,202.0,20.0,7112.0,-0.9895778894424438,TV9,Peddireddy ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X52owsgepHc,2023-02-01,84.0,3.0,1081.0,0.9984068274497986,ABN,Peddireddy ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
npElblyCEIY,2023-01-02,92.0,0.0,1613.0,-0.9925372004508972,TV9,Peddireddy ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
