ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,penukonda.png,vizianagaram_.png,kodur.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,puthalapattu.png,chintalapudi.png,eluru.png,palakollu.png,penamaluru.png,myudukur.png,Rajam.png,jaggampeta.png,kanigiri.png,Pendurthi.png,kalayan_durg.png,pedana.png,kaikuluru.png,Etcherla.png,tekkali.png
DRK6oCERqT4,2021-09-27,25160.0,6.0,15271.0,0.9985768795013428,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x4KH9kMlZm4,2022-11-03,130.0,5.0,2188.0,-0.9994346499443054,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
NnnninuhHog,2022-10-28,150.0,24.0,16500.0,-0.9981446266174316,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2YnvhxsNHE,2023-01-19,34.0,0.0,408.0,-0.9985541701316832,TV9,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0bsUZQL3k-A,2022-06-25,342.0,752.0,273483.0,-0.998040735721588,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d49EAQBVTF4,2022-06-25,733.0,591.0,265108.0,0.9946156144142152,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5Pe8A-heUQM,2022-11-03,329.0,12.0,12661.0,-0.999206840991974,TV5,ayyanna patrudu ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hmVRph07uFo,2022-10-11,157.0,4.0,1976.0,0.9228014945983888,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g91AgRI3t8k,2022-12-06,219.0,8.0,2981.0,-0.9983697533607484,ABN,ayyanna patrudu ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Y1Ky7vPf1Fw,2022-09-16,255.0,1.0,1230.0,-0.9922635555267334,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZiLEe-kBWU,2022-10-02,335.0,11.0,1968.0,-0.9993947744369508,Sakshi,ayyanna patrudu ,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
TCjAK0RqUHM,2022-06-25,405.0,59.0,28398.0,-0.9922356009483336,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5rK_gMsWUbU,2022-11-03,167.0,5.0,948.0,-0.9987051486968994,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YjvylHKbC5Q,2022-09-14,125.0,9.0,2563.0,-0.9990915060043336,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34eC6odUW3o,2022-11-04,511.0,5.0,2008.0,-0.9961023330688475,Sakshi,ayyanna patrudu ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
8EBMNLE_6MQ,2022-11-03,105.0,0.0,523.0,-0.9972597360610962,TV5,ayyanna patrudu ,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
naTqzjz3JMo,2022-11-23,255.0,0.0,1760.0,-0.9990087151527404,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
lVs80aUElW8,2022-09-14,125.0,40.0,15048.0,-0.9978006482124328,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vgF2z5uVWUA,2022-11-03,33971.0,0.0,58533.0,0.9768984913825988,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0YepRmVIAJE,2022-12-27,363.0,0.0,695.0,0.9983686804771424,TV9,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iBpMlxFpFPw,2022-10-31,187.0,1.0,4240.0,0.8427220582962036,TV5,ayyanna patrudu ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kTTlEBEn6ko,2022-12-21,75.0,2.0,1905.0,-0.9981892704963684,ABN,ayyanna patrudu ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1Xl286kSLW8,2022-11-03,395.0,7.0,2920.0,-0.9982132911682128,ABN,ayyanna patrudu ,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G7snt6am8_0,2022-11-19,255.0,197.0,110651.0,-0.9924578666687012,TV5,ayyanna patrudu ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6Aaq6HMRQvg,2023-02-06,450.0,1.0,3803.0,-0.9970486760139464,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
g4X1uGfp_u8,2022-11-04,80.0,1.0,5905.0,-0.996276557445526,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hEVbk2QEwls,2023-01-11,210.0,0.0,16570.0,0.9776792526245116,TV9,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drh098jvkhs,2022-10-01,2516.0,3.0,5607.0,0.9973686933517456,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajbp4xxXt64,2022-11-23,130.0,0.0,1371.0,-0.9982995390892028,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5m5TR1uoYfQ,2022-10-01,42900.0,16.0,59239.0,0.9933620691299438,TV5,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1Y7Y1iXsiCs,2022-06-21,184.0,323.0,167484.0,-0.9981361627578736,Sakshi,ayyanna patrudu ,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
Erkebf07aEk,2022-06-25,90.0,400.0,150773.0,-0.9963415265083312,Sakshi,ayyanna patrudu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
