ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,gandhar_nellore.png,kakinada.png,palakollu.png,gudivada.png,pulivendula.png,kalayan_durg.png,sattenapalli.png,Venkata_Mahesh.png,tekkali.png,pawan.png,Narasannapeta.png
mpeva1ml6u8,2023-01-02,198.0,0.0,3021.0,0.994695007801056,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
8tOEG5hugZc,2023-01-18,195.0,242.0,175056.0,-0.9951850771903992,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
KAqPVDiZuEI,2023-01-27,193.0,9.0,5368.0,0.975279688835144,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
j9PE1zvBMfY,2023-02-06,98.0,0.0,814.0,-0.9994051456451416,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
ALyURWPeLDc,2022-11-13,205.0,1.0,595.0,-0.994437336921692,ABN,bonda uma ,1,0,0,0,0,0,0,0,0,0,0
8dY2pWoKym0,2023-02-19,205.0,2.0,10333.0,0.9904749989509584,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
d5dz-5tRy4o,2022-04-23,539.0,47.0,9366.0,-0.9959511756896972,Sakshi,bonda uma ,0,0,0,0,0,0,0,1,0,0,1
1xUTuXBEZFQ,2023-03-27,319.0,87.0,33679.0,-0.9971377849578856,Sakshi,bonda uma ,0,1,0,0,0,0,0,0,0,1,0
PwuCMrUeIuA,2023-01-17,288.0,3.0,1250.0,0.9969272017478944,TV9,bonda uma ,0,1,0,0,0,0,0,0,0,0,0
GK4pu2p6sTE,2022-08-24,99.0,23.0,13787.0,-0.9991961121559144,Sakshi,bonda uma ,0,0,1,0,0,0,0,0,0,0,0
tAMFK8La5ko,2023-02-09,315.0,57.0,40214.0,-0.9860871434211732,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
Phb5x_RNRjA,2023-02-20,71.0,1.0,2172.0,0.9978110194206238,ABN,bonda uma ,0,0,0,0,0,0,0,1,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
0oleBO599dM,2022-12-15,251.0,0.0,3099.0,0.9955818057060242,TV5,bonda uma ,0,0,1,0,0,0,0,0,0,0,0
vClAz2p2Wo8,2022-12-14,168.0,0.0,3084.0,0.9972668886184692,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
Y1Ky7vPf1Fw,2022-09-16,255.0,1.0,1230.0,-0.9922635555267334,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
