ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,kakinada.png,palakollu.png,pulivendula.png,vishakapatnam_south.png
riLnil0Pm0M,2023-02-07,118.0,144.0,18131.0,0.996392786502838,Sakshi,borugadda anil kumar,0,1,0,0
kbesi_A03_g,2023-02-08,123.0,20.0,25350.0,-0.9839357137680054,TV5,borugadda anil kumar,0,0,0,0
NTX7Y7dwKDs,2023-02-07,63.0,17.0,3452.0,0.993684947490692,TV5,borugadda anil kumar,0,1,0,1
Adfjhtzm1R4,2023-03-09,211.0,18.0,9741.0,0.9959852695465088,Sakshi,borugadda anil kumar,1,0,0,1
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,borugadda anil kumar,0,0,0,0
aB1SVSbrymY,2023-04-16,225.0,26.0,2479.0,-0.9969160556793212,Sakshi,borugadda anil kumar,0,0,0,0
0YepRmVIAJE,2022-12-27,363.0,0.0,695.0,0.9983686804771424,TV9,borugadda anil kumar,0,0,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,borugadda anil kumar,0,0,0,0
fbR_CRcKPQU,2021-02-21,319.0,2.0,6558.0,0.9983177185058594,Sakshi,borugadda anil kumar,0,0,0,0
so1Wmoc6aNw,2022-10-18,365.0,1.0,4934.0,-0.9973430037498474,TV5,borugadda anil kumar,0,0,0,0
S8CwmbVZl4k,2023-02-25,252.0,57.0,18790.0,0.9984142780303956,Sakshi,borugadda anil kumar,0,0,0,0
rchoHAw6pz4,2021-11-15,321.0,134.0,86819.0,0.9985713958740234,Sakshi,borugadda anil kumar,0,1,0,1
x0k_yUyPzXw,2023-02-13,111.0,105.0,21773.0,0.9966094493865968,Sakshi,borugadda anil kumar,0,0,1,0
b_djt-_aH2U,2022-11-18,228.0,4.0,14131.0,-0.9908987283706664,TV9,borugadda anil kumar,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,borugadda anil kumar,0,0,0,0
Hi3YWl_NbKE,2023-02-08,74.0,44.0,84900.0,0.9983171224594116,TV5,borugadda anil kumar,0,0,0,0
-2nEI_w-dfs,2023-02-07,45.0,105.0,49062.0,-0.9922940731048584,TV5,borugadda anil kumar,0,0,0,0
szK_ixIlPM4,2022-12-22,147.0,2.0,3467.0,-0.9991661310195924,TV9,borugadda anil kumar,0,0,0,0
Rb4nrgdBgm0,2022-09-15,324.0,4.0,4436.0,-0.9978528022766112,TV5,borugadda anil kumar,0,0,0,0
smD4rkssb4Q,2023-02-19,177.0,5.0,7257.0,-0.9965879917144777,Sakshi,borugadda anil kumar,0,0,0,0
wBfPfMzYwNE,2022-12-31,386.0,2.0,3627.0,0.9987718462944032,TV9,borugadda anil kumar,0,0,0,0
J4NPmkv27ls,2023-01-19,199.0,2.0,22543.0,-0.994531512260437,TV9,borugadda anil kumar,0,0,0,0
S9pX2v3EAPU,2023-02-18,194.0,133.0,163188.0,-0.9977014660835266,Sakshi,borugadda anil kumar,0,0,0,0
YX2F3vSISoM,2019-12-21,283.0,0.0,1516.0,0.9983395338058472,Sakshi,borugadda anil kumar,0,0,1,0
g_Dme6NFOkw,2022-02-05,282.0,6.0,2607.0,-0.9885308146476746,Sakshi,borugadda anil kumar,0,0,0,0
QLZxb10_9Q4,2021-02-21,226.0,1.0,845.0,0.9984815716743468,Sakshi,borugadda anil kumar,0,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,borugadda anil kumar,0,0,0,0
NeMlXRQWTFA,2023-02-07,77.0,27.0,3558.0,0.9960416555404664,TV5,borugadda anil kumar,1,1,0,1
XjXEBx9ClYA,2023-02-07,664.0,170.0,20209.0,-0.9928596019744872,ABN,borugadda anil kumar,0,0,0,0
LIbSq65Wba4,2023-03-19,346.0,0.0,2454.0,0.9904049634933472,TV9,borugadda anil kumar,0,0,0,0
-N5JI7VYCqU,2022-10-10,342.0,1.0,367.0,0.9973827004432678,TV5,borugadda anil kumar,0,0,0,0
n_KxFDik0GI,2022-08-29,277.0,27.0,6454.0,-0.9944104552268982,TV5,borugadda anil kumar,0,0,0,0
rUa5HhcDH5w,2023-04-05,125.0,1.0,1427.0,0.9977287650108336,TV9,borugadda anil kumar,0,0,0,0
