ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,venkatagiri.png,kakinada.png,eluru.png,pulivendula.png,kalayan_durg.png,Venkata_Mahesh.png,tekkali.png,denduluru.png,tirupati_l2.png
-zxQUdPZcKM,2022-12-21,217.0,20.0,143728.0,-0.9971104860305786,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
IW0JGgAUgbk,2023-02-04,110.0,0.0,937.0,0.9885320663452148,TV9,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
UMrvP7ILgis,2022-03-27,326.0,1.0,2973.0,0.9980177879333496,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
-ff3vzVnd1U,2022-12-21,217.0,10.0,3279.0,0.9949750900268556,TV9,chintamaneni prabhakar,0,0,0,0,0,0,1,0,0,0,0,0
F3qhsAAQF8s,2021-02-17,136.0,3.0,6703.0,0.99862539768219,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
O2geDm928Sg,2022-09-08,197.0,3.0,2174.0,-0.9975767731666564,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
VsXWUKB43TU,2019-12-25,270.0,0.0,289.0,0.9988812804222108,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
i_o_f7GrQDQ,2022-10-07,202.0,0.0,415.0,0.9548509120941162,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
GhLhFfopwcQ,2022-10-12,165.0,4.0,1092.0,0.9987888932228088,TV5,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
0UUxCjAXtnI,2019-07-01,219.0,0.0,62151.0,0.9951696991920472,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
2DJ21YJYwXs,2022-12-29,869.0,1.0,1047.0,0.9871163964271544,Sakshi,chintamaneni prabhakar,0,0,0,0,0,0,0,0,0,0,0,0
