ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,gandhar_nellore.png,kodur.png,venkatagiri.png,alur.png,kakinada.png,narsapuram_l.png,palakollu.png,pulivendula.png,kanigiri.png,kalayan_durg.png,madugula.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,vizianagaram.png,tekkali.png,pawan.png
KjNlfEBUw0U,2022-09-11,170.0,1.0,3019.0,0.9843398332595824,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qpAnj5npeAY,2022-08-06,154.0,9.0,2734.0,0.9775428771972656,Sakshi,cpi narayana,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
kPrBdjDIRGw,2022-08-28,125.0,9.0,10843.0,0.9961686730384828,TV5,cpi narayana,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GMp18KoBdNQ,2022-09-26,245.0,30.0,21707.0,-0.9973383545875548,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oODilaRFfPs,2023-01-11,67.0,0.0,2737.0,-0.998571515083313,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
itFLLAkqGhc,2022-11-10,295.0,4.0,3569.0,-0.999495267868042,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMrvP7ILgis,2022-03-27,326.0,1.0,2973.0,0.9980177879333496,Sakshi,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1g17DmsNfNM,2021-09-30,65.0,37.0,13511.0,-0.9968936443328856,Sakshi,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4xhD69Z0nTE,2022-08-29,130.0,7.0,7175.0,0.998606026172638,TV5,cpi narayana,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
uW9J1nJo86Y,2022-09-05,164.0,0.0,1089.0,-0.9951303005218506,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n-BkPv7xayU,2022-12-01,123.0,1.0,600.0,0.995136559009552,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c-cySUGDXGA,2022-10-09,124.0,0.0,575.0,-0.9948439598083496,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGvyAkq5ggA,2022-10-12,42.0,3.0,3938.0,-0.9994471669197084,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
