ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,kodur.png,venkatagiri.png,urvakonda.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,rajahmundry_rural.png,visakapatnam.png,eluru.png,venkat_krishna.png,palakollu.png,gudivada.png,myudukur.png,Rajam.png,pulivendula.png,kanigiri.png,kalayan_durg.png,madugula.png,unguturu.png,sattenapalli.png,Venkata_Mahesh.png,prathipadu.png,paturi_nagabhusnam.png,vijayawada_east.png,hindupur_l.png,nandyal_l.png,paderu.png,nandikotkur.png,vizianagaram.png,sambasivarao.png,tekkali.png,jammalamadugu.png
cykmV1cAPBg,2022-12-30,117.0,1.0,710.0,-0.9983547329902648,ABN,gorantla ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mpeva1ml6u8,2023-01-02,198.0,0.0,3021.0,0.994695007801056,TV9,gorantla ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DKE9W5SVao0,2022-09-16,286.0,0.0,5071.0,-0.9940857887268066,TV5,gorantla ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qpAnj5npeAY,2022-08-06,154.0,9.0,2734.0,0.9775428771972656,Sakshi,gorantla ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
QfK-FRptojk,2022-08-22,157.0,1.0,3916.0,-0.999148964881897,TV5,gorantla ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kPrBdjDIRGw,2022-08-28,125.0,9.0,10843.0,0.9961686730384828,TV5,gorantla ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3K9nUzsUOZc,2022-10-14,155.0,4.0,8466.0,0.997497022151947,Sakshi,gorantla ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HZ67NBd3oxc,2022-12-14,323.0,4.0,1965.0,0.989526867866516,TV9,gorantla ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RQFyW9_opWE,2023-03-23,241.0,30.0,27153.0,-0.8415473699569702,Sakshi,gorantla ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bafI69tpQvM,2022-11-15,298.0,8.0,2398.0,0.9950409531593324,Sakshi,gorantla ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plxT8n6S19c,2022-02-22,70.0,2.0,4098.0,0.9571991562843324,Sakshi,gorantla ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UMrvP7ILgis,2022-03-27,326.0,1.0,2973.0,0.9980177879333496,Sakshi,gorantla ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M7wRfgJbIz0,2022-12-22,183.0,5.0,3727.0,-0.9994310736656188,TV9,gorantla ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9_neKao7hes,2022-09-07,690.0,42.0,36977.0,0.9909188747406006,TV5,gorantla ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dDxlqiuxYZE,2022-08-28,210.0,236.0,151565.0,-0.9958892464637756,TV5,gorantla ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4xhD69Z0nTE,2022-08-29,130.0,7.0,7175.0,0.998606026172638,TV5,gorantla ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fitsYVKdOus,2022-11-11,213.0,0.0,1083.0,-0.9988446235656738,ABN,gorantla ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hClWuzj-mxo,2023-01-30,196.0,1.0,1245.0,-0.9982865452766418,TV5,gorantla ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AsHdY1YjLSE,2022-08-12,367.0,290.0,117588.0,-0.9820424914360046,Sakshi,gorantla ,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
lDFMDhaCwbY,2022-09-11,185.0,11.0,7527.0,0.9931594133377076,TV5,gorantla ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jv7Ubc4lqHA,2022-09-28,205.0,292.0,128617.0,-0.9993763566017152,TV5,gorantla ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tAMFK8La5ko,2023-02-09,315.0,57.0,40214.0,-0.9860871434211732,ABN,gorantla ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
o8kbIF1wshg,2022-12-02,267.0,55.0,18456.0,-0.9987505674362184,Sakshi,gorantla ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BdaielQ0UI8,2022-08-18,321.0,16.0,3503.0,-0.9994029998779296,Sakshi,gorantla ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,gorantla ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
idpEQR4gBH4,2019-12-20,295.0,4.0,1088.0,-0.9902076125144958,Sakshi,gorantla ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
