ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,penukonda.png,vizianagaram_.png,vijayawada_l.png,gannavaram_vamsi.png,machillipatnam.png,jaggayyapeta.png,Srungavarapukota.png,tenali.png,kodur.png,srikakulam_.png,venkatagiri.png,urvakonda.png,srisailam.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,puthalapattu.png,eluru.png,venkat_krishna.png,palakollu.png,gudivada.png,guntur_west.png,ankapalle.png,anantapur_l.png,penamaluru.png,myudukur.png,Rajam.png,pulivendula.png,kanigiri.png,nidadavole.png,sarvepalli.png,vishakapatnam_south.png,kalayan_durg.png,kaikuluru.png,murthy.png,madugula.png,unguturu.png,repalle.png,nandyal.png,sattenapalli.png,Etcherla.png,Venkata_Mahesh.png,prathipadu.png,paturi_nagabhusnam.png,vijayawada_east.png,rayachoti.png,nandyal_l.png,paderu.png,nandikotkur.png,vizianagaram.png,tadepalligudem.png,sambasivarao.png,tekkali.png,jammalamadugu.png,kadiri.png,denduluru.png,pawan.png,Narasannapeta.png
MTr-bWodp-M,2023-02-03,446.0,2.0,2225.0,0.998348832130432,TV9,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M35nohqHuBY,2022-10-15,738.0,80.0,3645.0,-0.9893829226493835,Sakshi,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sOhg8025Q7c,2022-11-09,189.0,11.0,3606.0,0.9983701109886168,Sakshi,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
be_omFeCrfQ,2023-04-10,219.0,42.0,20891.0,0.9879006147384644,Sakshi,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btd0hg3ceFU,2022-10-01,14115.0,3.0,29026.0,-0.9744812250137328,TV5,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R45WqJO6Zfk,2023-01-13,554.0,597.0,71514.0,-0.9979314804077148,Sakshi,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
Z_6OkT-3ht4,2022-10-27,462.0,7.0,4417.0,0.9986544847488404,Sakshi,gudivada ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jJJ-YT4h1Gg,2022-10-11,233.0,14.0,4745.0,0.9928418397903442,Sakshi,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Gv9YdEpPMsE,2022-12-12,244.0,4.0,5759.0,0.995647132396698,TV5,gudivada ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cokzTW4er6g,2022-10-18,138.0,36.0,1746.0,-0.998007833957672,Sakshi,gudivada ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
