ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,penukonda.png,vizianagaram_.png,thamballapalle.png,amalapuram.png,Srungavarapukota.png,kodur.png,srikakulam_.png,venkatagiri.png,guntur_east.png,alur.png,vishakapatnam_west.png,undi.png,kakinada.png,eluru.png,venkat_krishna.png,palakollu.png,kondapi.png,penamaluru.png,myudukur.png,Rajam.png,pulivendula.png,kanigiri.png,sarvepalli.png,kalayan_durg.png,pedana.png,kaikuluru.png,madugula.png,sattenapalli.png,Etcherla.png,Venkata_Mahesh.png,vizianagaram.png,tekkali.png
M35nohqHuBY,2022-10-15,738.0,80.0,3645.0,-0.9893829226493835,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zHBTVs3mZqY,2022-11-28,142.0,1.0,1259.0,0.9964661598205566,TV9,jogi ramesh ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
_w_DMxSzjgw,2022-02-12,379.0,71.0,5730.0,0.9788139462471008,Sakshi,jogi ramesh ,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
tAMFK8La5ko,2023-02-09,315.0,57.0,40214.0,-0.9860871434211732,ABN,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Add6gRKRmJU,2023-02-07,207.0,2.0,4156.0,-0.9961692690849304,ABN,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NeEZM3A6QW4,2022-06-13,535.0,53.0,9802.0,0.9980676770210266,Sakshi,jogi ramesh ,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
k-yoO9XrhAo,2022-11-13,751.0,173.0,22356.0,0.9979052543640136,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZiLEe-kBWU,2022-10-02,335.0,11.0,1968.0,-0.9993947744369508,Sakshi,jogi ramesh ,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
OYloNSVqETU,2022-12-15,206.0,10.0,1679.0,-0.9970833659172058,TV9,jogi ramesh ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
VO6KRy6hxRo,2022-12-07,157.0,2.0,1314.0,0.996480405330658,TV9,jogi ramesh ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
F1JsuneEPmE,2022-07-09,967.0,25.0,18539.0,0.9984726309776306,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pWKCXPyYu70,2022-12-01,1466.0,6.0,2187.0,0.9956081509590148,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aB1SVSbrymY,2023-04-16,225.0,26.0,2479.0,-0.9969160556793212,Sakshi,jogi ramesh ,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LxAEYCPKHiw,2022-06-18,1122.0,11.0,4975.0,0.9946891069412231,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LwDtl_-P7mI,2023-01-11,300.0,9.0,3652.0,-0.9940085411071776,ABN,jogi ramesh ,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COza2UvQT7Q,2022-09-30,100.0,309.0,182258.0,-0.9992400407791138,TV5,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9hApiDe7AM8,2023-03-18,306.0,4.0,627.0,0.9983256459236144,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CXdax6qYN8I,2021-06-03,1347.0,29.0,6508.0,0.9893398880958556,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IcTM1Ee5YVg,2022-10-15,13790.0,104.0,90359.0,0.9948039650917052,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3ogBJ1IC7g,2023-04-15,356.0,9.0,2501.0,-0.9578742980957032,Sakshi,jogi ramesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x6hL-62ttPw,2022-12-04,216.0,3.0,840.0,-0.993294894695282,TV9,jogi ramesh ,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
