ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,tirupati_l.png,punganur.png,raptadu.png,kurnool.png,nellore_l.png,gandhar_nellore.png,mantralayam.png,banaganapalle.png,penukonda.png,vizianagaram_.png,razole.png,ramkumar_reddy.png,thamballapalle.png,rapka.png,amalapuram.png,rajempet.png,achanta.png,lokesh.png,vijayawada_l.png,gannavaram_vamsi.png,machillipatnam.png,jaggayyapeta.png,Srungavarapukota.png,atmakur.png,tenali.png,baptla.png,kodur.png,kadapa_l.png,srikakulam_.png,venkatagiri.png,urvakonda.png,Advocate _Sravan Kumar.png,mummidivaram.png,kuppam.png,srisailam.png,guntur_east.png,alur.png,vishakapatnam_west.png,undi.png,chodavaram.png,kakinada.png,narsapuram_l.png,guntakal.png,puthalapattu.png,visakapatnam.png,chintalapudi.png,nellore_city.png,tadikonda.png,eluru.png,venkat_krishna.png,palakollu.png,rajinikanth.png,narasaraopet.png,kondapi.png,gudivada.png,guntur_west.png,ankapalle.png,puttaparthi.png,cheepurupali.png,mandanapalli.png,macherala.png,anantapur_l.png,gajapathinagram.png,panyam.png,penamaluru.png,myudukur.png,Rajam.png,pulivendula.png,jaggampeta.png,kanigiri.png,kurnool_l.png,srikalahasti.png,vinukonda.png,durgesh.png,bhimili.png,nidadavole.png,vijayawada_central.png,sarvepalli.png,singanamala.png,darsi.png,murali_krishna.png,vishakapatnam_south.png,Pendurthi.png,kalayan_durg.png,pedana.png,kaikuluru.png,murthy.png,madugula.png,unguturu.png,mangalagiri.png,repalle.png,nandyal.png,badvel.png,sattenapalli.png,Etcherla.png,Venkata_Mahesh.png,prathipadu.png,paturi_nagabhusnam.png,bhimavaram.png,vijayawada_east.png,tuni.png,prathipadu_.png,bobili.png,nellore_rural.png,rayachoti.png,pamarru.png,nandyal_l.png,myalavaram.png,kurupam.png,ongole.png,paderu.png,nandikotkur.png,vizianagaram.png,tadepalligudem.png,sambasivarao.png,tekkali.png,jammalamadugu.png,tanuku.png,kadiri.png,hindupur.png,denduluru.png,pawan.png,palakonda.png,Narasannapeta.png,tirupati_l2.png
MTr-bWodp-M,2023-02-03,446.0,2.0,2225.0,0.998348832130432,TV9,nellore ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X4wKQmqAsm0,2023-01-04,305.0,5.0,7683.0,-0.994870662689209,TV5,nellore ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HqWHKdAVbQQ,2022-10-03,122.0,1.0,2839.0,0.9928132891654968,TV5,nellore ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EdkBciZZC_o,2022-10-18,145.0,17.0,3191.0,-0.9993846416473388,ABN,nellore ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGndQuc4whE,2022-12-04,126.0,2.0,1405.0,-0.998129665851593,ABN,nellore ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
auKH9ayDceY,2023-01-29,109.0,2.0,941.0,-0.9978433847427368,TV9,nellore ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
bq-4tnT3y80,2023-02-09,49.0,0.0,447.0,-0.998853087425232,TV9,nellore ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QfK-FRptojk,2022-08-22,157.0,1.0,3916.0,-0.999148964881897,TV5,nellore ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8tOEG5hugZc,2023-01-18,195.0,242.0,175056.0,-0.9951850771903992,TV5,nellore ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llco01x2lrg,2022-11-27,380.0,91.0,164445.0,-0.998381495475769,TV5,nellore ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
