ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,tenali.png,venkatagiri.png,eluru.png,venkat_krishna.png,palakollu.png,vinukonda.png,kalayan_durg.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,tekkali.png,jammalamadugu.png
-zxQUdPZcKM,2022-12-21,217.0,20.0,143728.0,-0.9971104860305786,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
zuDq2nQMVFI,2023-01-21,88.0,0.0,430.0,0.9948344230651855,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
UMrvP7ILgis,2022-03-27,326.0,1.0,2973.0,0.9980177879333496,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
0W26tRjhy3Y,2020-03-09,26.0,1.0,773.0,0.9943899512290956,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
-ff3vzVnd1U,2022-12-21,217.0,10.0,3279.0,0.9949750900268556,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
ckHFpRnJfoE,2022-11-12,81.0,2.0,643.0,-0.9582787156105042,TV5,undavalli arun kumar,0,0,0,0,0,0,0,1,0,0,0,0
F3qhsAAQF8s,2021-02-17,136.0,3.0,6703.0,0.99862539768219,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
l8JH-mYdMLA,2022-09-30,269.0,2.0,1359.0,-0.8120450973510742,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
lkSEnte94o0,2023-02-18,381.0,0.0,1022.0,0.6103910803794861,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,1
7HN2eX7zfmc,2022-12-07,340.0,0.0,2795.0,-0.9981479644775392,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,1
EpZO_21uBOg,2022-09-25,310.0,42.0,48511.0,-0.9965052604675292,TV5,undavalli arun kumar,1,0,0,0,0,0,0,0,1,0,0,1
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
Cme9W_oYm60,2022-12-10,35.0,1.0,2628.0,-0.9977524876594543,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
elO962LGcYc,2022-11-04,333.0,24.0,59481.0,-0.9920103549957277,TV5,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
p-ydHXInzAM,2022-12-29,140.0,0.0,1092.0,0.996559202671051,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
Ha1USBTlhUA,2021-09-13,521.0,6.0,5169.0,-0.9895756244659424,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
vhhV3TpmuzU,2022-11-08,221.0,4.0,1119.0,-0.9920280575752258,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,1,0
HDx-p6HGTJ8,2023-01-12,209.0,4.0,2091.0,-0.9515554904937744,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
XRmj5m44LTI,2023-02-18,375.0,13.0,9348.0,-0.9984561204910278,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
YcCQ3zNqJCE,2022-12-11,288.0,2.0,2449.0,-0.9977908134460448,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,1
0YepRmVIAJE,2022-12-27,363.0,0.0,695.0,0.9983686804771424,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
WPfh4Aj7Ebk,2023-04-18,29325.0,2.0,18312.0,0.9924888610839844,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
NmKY1yd43IQ,2023-01-17,264.0,5.0,2832.0,0.998391568660736,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
gYeEzNOniUw,2022-11-18,126.0,1.0,2962.0,-0.9879488945007324,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
3PI45cHPwQc,2022-12-19,255.0,3.0,4492.0,-0.7077032923698425,ABN,undavalli arun kumar,0,1,0,0,1,0,0,0,0,1,0,0
2epMA6cru7A,2021-02-20,239.0,0.0,1293.0,0.9973590970039368,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,1,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
3-HuEsEYI6o,2022-12-27,97.0,0.0,706.0,0.9870861768722534,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
e4pt7uuOZTE,2022-12-11,229.0,0.0,3929.0,-0.9993706345558168,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
-adufcMpqac,2022-10-12,400.0,82.0,38770.0,-0.9963098168373108,Sakshi,undavalli arun kumar,0,0,0,1,0,1,0,0,1,0,1,0
gJtyy8CX_u8,2022-12-06,225.0,0.0,2808.0,-0.9983162879943848,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
fbR_CRcKPQU,2021-02-21,319.0,2.0,6558.0,0.9983177185058594,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
WE_du7MPYoM,2022-12-08,364.0,0.0,1832.0,0.9985752105712892,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
PSxfBlwD7sk,2023-01-29,57.0,1.0,2158.0,0.9985612034797668,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
P-U2nFD5QwI,2022-12-08,80.0,14.0,5639.0,0.997940719127655,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
ahhImcM1D0k,2023-01-26,270.0,2.0,1107.0,-0.9905195236206056,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
wBWS6A7kwyo,2023-01-13,91.0,1.0,966.0,-0.9989662170410156,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
cfGKy9_V8hI,2022-12-07,300.0,2.0,1169.0,-0.9894269704818726,ABN,undavalli arun kumar,0,0,1,0,1,1,0,0,0,1,0,0
w094EMK56cg,2022-11-23,237.0,0.0,1130.0,0.9849603772163392,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
uihEQOc4CQ4,2022-11-07,200.0,1.0,1490.0,0.9980835914611816,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
0FLLlnue87c,2022-08-22,289.0,64.0,43403.0,-0.998100221157074,Sakshi,undavalli arun kumar,0,0,1,0,0,0,1,0,0,0,0,1
JUV1pI944gs,2022-12-08,167.0,8.0,2631.0,0.9840959310531616,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,1
w8mqc9EAj5I,2022-08-30,279.0,206.0,52824.0,-0.9948018789291382,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
F1bLcoVCJ8g,2023-02-18,248.0,4.0,819.0,0.9693773984909058,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
bO68D9B9gSM,2022-12-12,190.0,19.0,6771.0,-0.9925748109817504,TV5,undavalli arun kumar,0,0,0,0,0,0,0,1,0,0,0,0
RJb0_m_rgIY,2022-09-02,371.0,335.0,185519.0,0.9983924031257628,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
E3IfdU4A5c0,2022-12-19,70.0,0.0,2607.0,-0.9956192374229432,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
Z9RUpVLEIro,2021-02-15,196.0,10.0,4008.0,0.9924942255020142,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,1,0,0,0
0C_e0rChWmM,2022-12-06,321.0,2.0,3254.0,-0.9985764026641846,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
b_djt-_aH2U,2022-11-18,228.0,4.0,14131.0,-0.9908987283706664,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
R_MXAg0LPqI,2022-11-13,359.0,1.0,2297.0,-0.9984949827194214,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
cP9gn6PNe2U,2022-03-14,187.0,184.0,30665.0,-0.998619556427002,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
q6aE8tGCufE,2022-12-11,189.0,23.0,24645.0,-0.9984074234962464,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,1
xdH2n_qP6XM,2021-02-18,172.0,0.0,1998.0,0.9985812902450562,Sakshi,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
adOJUjL3hCs,2023-02-09,102.0,1.0,1579.0,-0.9987768530845642,TV9,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
dfdMoQpyj5Q,2023-01-14,492.0,8.0,39446.0,-0.9678807854652404,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
lt7lKpcSC2o,2022-12-28,179.0,0.0,1399.0,0.9972246885299684,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
Rb4nrgdBgm0,2022-09-15,324.0,4.0,4436.0,-0.9978528022766112,TV5,undavalli arun kumar,0,0,1,0,0,0,0,1,0,1,0,0
wt4HwG4Izzc,2022-09-28,221.0,2.0,1893.0,-0.9899922013282776,TV5,undavalli arun kumar,0,0,0,0,0,0,0,1,0,0,0,0
2PK9KiIGyFk,2022-11-02,185.0,0.0,368.0,-0.9978125095367432,ABN,undavalli arun kumar,0,0,0,0,0,0,0,0,0,0,0,0
