ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,penukonda.png,vizianagaram_.png,jaggayyapeta.png,kodur.png,kadapa_l.png,venkatagiri.png,urvakonda.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,tadikonda.png,palakollu.png,myudukur.png,pulivendula.png,kanigiri.png,sarvepalli.png,kalayan_durg.png,kaikuluru.png,madugula.png,unguturu.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,prathipadu_.png,nandyal_l.png,paderu.png,nandikotkur.png,tadepalligudem.png,tekkali.png,jammalamadugu.png,palakonda.png,Narasannapeta.png,tirupati_l2.png
Rtor62OCiys,2021-02-14,221.0,96.0,144107.0,0.9962934851646424,Sakshi,ys vijayamma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
h2AF2nIthOs,2023-01-24,330.0,1.0,653.0,-0.998969554901123,ABN,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Y9pkFKtb5tI,2022-11-28,237.0,0.0,445.0,-0.6816318035125732,TV9,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JS29IaNLlwc,2022-12-22,76.0,7.0,2497.0,-0.9973294734954834,TV9,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iAqpzz0iCL4,2023-04-17,56.0,206.0,81068.0,0.9967350363731384,Sakshi,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pAJrHQrVTB4,2022-09-14,284.0,10.0,2719.0,-0.9946480393409728,TV5,ys vijayamma,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T3y9V7RNAS4,2022-09-12,258.0,1.0,1806.0,0.9986168146133424,TV5,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMrvP7ILgis,2022-03-27,326.0,1.0,2973.0,0.9980177879333496,Sakshi,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KlZmMa-u76w,2023-04-15,313.0,4.0,1574.0,0.998166561126709,Sakshi,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wv14vzyjxIY,2022-12-07,353.0,42.0,10136.0,0.992989420890808,TV9,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-ff3vzVnd1U,2022-12-21,217.0,10.0,3279.0,0.9949750900268556,TV9,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Po96zriM0LE,2023-02-12,313.0,10.0,7959.0,-0.9943401217460632,TV5,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nGnZzG3pKQ4,2023-01-17,172.0,4.0,36924.0,-0.9980515241622924,TV9,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hlcWXywR7v8,2022-12-25,145.0,5.0,24216.0,0.994860827922821,Sakshi,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-XYwQSGEuNc,2022-11-28,172.0,2.0,658.0,0.9976385831832886,TV5,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i_o_f7GrQDQ,2022-10-07,202.0,0.0,415.0,0.9548509120941162,TV5,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5JP0TOVBDec,2022-12-12,149.0,2.0,1418.0,-0.9984549283981324,TV9,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,ys vijayamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
