tags,uploader,view_count_average,view_count,negative_video_uploads,duration,comment_count
AP ,ABN,17335.25938566553,60950772.0,2348,9829561.0,43967.0
AP ,Sakshi,45945.816383200276,132369897.0,707,4303269.0,135259.0
AP ,TV5,27471.787723159698,112332140.0,2516,7536487.0,115924.0
AP ,TV9,19490.263995453253,68586239.0,1853,3047259.0,46753.0
Atchannaidu,ABN,15686.148648648648,4643100.0,205,113025.0,4310.0
Atchannaidu,Sakshi,31951.21111111111,8626827.0,130,79659.0,14716.0
Atchannaidu,TV5,18347.42576419214,8403121.0,271,86020.0,8424.0
Atchannaidu,TV9,20768.897887323943,5898367.0,156,51536.0,3507.0
Gadapa Gadapaku ,ABN,10720.714285714286,675405.0,57,13136.0,661.0
Gadapa Gadapaku ,Sakshi,22986.148550724636,6344177.0,94,65676.0,7784.0
Gadapa Gadapaku ,TV5,36763.045454545456,3235148.0,69,98752.0,1308.0
Gadapa Gadapaku ,TV9,18465.458333333332,886342.0,27,9863.0,517.0
Kuppam,ABN,20529.782841823057,7657609.0,254,921980.0,4334.0
Kuppam,Sakshi,41613.46407185629,13898897.0,152,193198.0,18109.0
Kuppam,TV5,32007.593663911844,23237513.0,430,1421793.0,22276.0
Kuppam,TV9,12434.118473895582,6192191.0,230,247252.0,4501.0
MLC Elections 2023,ABN,48314.38461538462,1884261.0,23,32889.0,1035.0
MLC Elections 2023,Sakshi,20441.4375,654126.0,7,6594.0,1298.0
MLC Elections 2023,TV5,33232.03448275862,4818645.0,81,136784.0,3505.0
MLC Elections 2023,TV9,69686.48192771085,5783978.0,51,18482.0,1982.0
Peddireddy ,ABN,10427.308056872038,2200162.0,150,171146.0,1320.0
Peddireddy ,Sakshi,25801.222222222223,8591807.0,116,215121.0,10072.0
Peddireddy ,TV5,19895.98981670061,9768931.0,306,257623.0,10064.0
Peddireddy ,TV9,13334.924757281553,5493989.0,269,87348.0,3854.0
Ramoji Rao,ABN,9315.554838709677,1443911.0,113,35076.0,1828.0
Ramoji Rao,Sakshi,54964.990853658535,18028517.0,164,146335.0,21973.0
Ramoji Rao,TV5,24601.21818181818,5412268.0,143,88835.0,5624.0
Ramoji Rao,TV9,6948.0,1118628.0,93,33506.0,2087.0
Sajjala ,ABN,29071.299019607843,5930545.0,140,1244375.0,4208.0
Sajjala ,Sakshi,32752.05230769231,10644417.0,82,858875.0,16836.0
Sajjala ,TV5,31525.574162679426,6588845.0,110,269045.0,7948.0
Sajjala ,TV9,12567.415625,4021573.0,188,360550.0,3023.0
Vidadala Rajini,ABN,16709.61224489796,818771.0,33,104179.0,672.0
Vidadala Rajini,Sakshi,49909.02369668247,10530804.0,54,56132.0,11704.0
Vidadala Rajini,TV5,27529.473684210527,3138360.0,66,35463.0,3727.0
Vidadala Rajini,TV9,22449.197916666668,2155123.0,50,49933.0,863.0
YS Viveka Case,ABN,37508.442307692305,19504390.0,368,1338008.0,11889.0
YS Viveka Case,Sakshi,35810.020833333336,6875524.0,58,37920.0,10093.0
YS Viveka Case,TV5,39278.24964336662,27534053.0,458,1458006.0,19555.0
YS Viveka Case,TV9,13054.407166123778,4007703.0,173,148110.0,2554.0
YSRCP Plenary,ABN,27702.941176470587,941900.0,26,8562.0,665.0
YSRCP Plenary,Sakshi,61123.0,13263691.0,53,179309.0,12393.0
